国家,累计确诊人数
Afghanistan,2335
Albania,782
Algeria,4154
Andorra,746
Angola,29
Anguilla,3
Antigua and Barb.,25
Argentina,4519
Armenia,2148
Aruba,100
Australia,6767
Austria,15531
Azerbaijan,1854
Bahamas,82
Bahrain,3170
Bangladesh,8238
Barbados,81
Belarus,14917
Belgium,49032
Belize,18
Benin,90
Bermuda,114
Bhutan,7
Bolivia,1229
Bonaire Sint Eustatius and Saba,6
Bosnia and Herz.,1781
Botswana,23
Brazil,91589
British Virgin Islands,6
Brunei,138
Bulgaria,1588
Burkina Faso,649
Burundi,15
Cambodia,122
Cameroon,2069
Canada,55061
Cape Verde,123
Cayman Is.,74
Central African Rep.,72
Chad,73
Chile,17008
China,83959
Colombia,7006
Comoros,1
Congo,229
Costa Rica,725
Côte d'Ivoire,1333
Croatia,2085
Cuba,1537
Curaçao,16
Cyprus,857
Czech Rep.,7737
Dem. Rep. Congo,604
Denmark,9311
Djibouti,1097
Dominica,16
Dominican Rep.,7288
Ecuador,26336
Egypt,5895
El Salvador,446
Eq. Guinea,315
Eritrea,39
Estonia,1694
Ethiopia,133
Faeroe Is.,187
Falkland Is.,13
Fiji,18
Finland,5051
France,130185
Fr. Polynesia,58
Gabon,308
Gambia,12
Georgia,582
Germany,161703
Ghana,2074
Gibraltar,144
Greece,2591
Greenland,11
Grenada,20
Guam,146
Guatemala,644
Guernsey,252
Guinea,1537
Guinea-Bissau,257
Guyana,82
Haiti,85
Honduras,899
Hungary,2942
Iceland,1798
India,37336
Indonesia,10551
Iran,95646
Iraq,2153
Ireland,20833
Isle of Man,316
Israel,16101
Italy,207428
Jamaica,432
Japan,14544
Jersey,286
Jordan,459
Kazakhstan,3671
Kenya,411
Kosovo,813
Kuwait,4377
Kyrgyzstan,769
Lao PDR,19
Latvia,870
Lebanon,729
Liberia,152
Libya,63
Liechtenstein,83
Lithuania,1399
Luxembourg,3802
Macedonia,1494
Madagascar,135
Malawi,37
Malaysia,6071
Maldives,491
Mali,508
Malta,467
Mauritania,8
Mauritius,334
Mexico,20739
Moldova,3980
Monaco,95
Mongolia,39
Montenegro,322
Montserrat,11
Morocco,4569
Mozambique,79
Myanmar,151
Namibia,16
Nepal,59
Netherlands,39791
New Caledonia,18
New Zealand,1134
Nicaragua,14
Niger,728
Nigeria,2170
N. Mariana Is.,14
Norway,7759
Oman,2447
Pakistan,18114
Palestine,517
Panama,6720
Papua New Guinea,8
Paraguay,333
Peru,40459
Philippines,8772
Poland,13105
Portugal,25351
Puerto Rico,1575
Qatar,14096
Romania,12567
Russia,114431
Rwanda,249
Saint Kitts and Nevis,15
Saint Lucia,17
St. Vin. and Gren.,16
San Marino,580
São Tomé and Principe,18
Saudi Arabia,24097
Senegal,1024
Serbia,9205
Seychelles,11
Sierra Leone,136
Singapore,17101
Sint Maarten (Dutch part),76
Slovakia,1403
Slovenia,1434
Somalia,601
South Africa,5951
Korea,10780
S. Sudan,45
Spain,215216
Sri Lanka,690
Sudan,442
Suriname,10
Swaziland,106
Sweden,21520
Switzerland,29622
Syria,44
Tajikistan,15
Tanzania,480
Thailand,2960
Timor,24
Togo,123
Trinidad and Tobago,116
Tunisia,998
Turkey,122392
Turks and Caicos Is.,12
Uganda,85
Ukraine,11411
United Arab Emirates,13038
United Kingdom,177454
United States,1103781
U.S. Virgin Is.,66
Uruguay,648
Uzbekistan,2094
Vatican,11
Venezuela,335
Vietnam,270
Western Sahara,6
Yemen,7
Zambia,109
Zimbabwe,34
