国家,阳性率
各国平均,0.09664340682778474
阿尔及利亚,0.6883076923076923
厄瓜多尔,0.375519648101298
巴西,0.2978836820280841
多米尼加,0.26423493455584346
阿富汗,0.2443079147090712
墨西哥,0.23550234030983783
巴拿马,0.21256820771121904
摩尔多瓦,0.2015454589915391
伊朗,0.1963113044634707
瑞典,0.1867531380753138
荷兰,0.1795979619210355
美国,0.16506621425862494
英国,0.15467359634616898
法国,0.15332549253427472
卡塔尔,0.14425753110674525
尼日利亚,0.14395948878707499
西班牙,0.1278798212636258
爱尔兰,0.12697119443608046
新加坡,0.12649476441609517
秘鲁,0.12244332117644549
比利时,0.11771088116875919
摩洛哥,0.11642762158054712
孟加拉,0.11610629466807476
土耳其,0.11101696632014142
瑞士,0.10671972021982729
印度尼西亚,0.09907493471429203
巴基斯坦,0.09892377785986947
亚美尼亚,0.09868883649749763
意大利,0.09783626121985058
智利,0.09535055135827135
塞尔维亚,0.0928653432897332
乌克兰,0.09183413889595522
白俄罗斯,0.08179143062784287
日本,0.08026905088499231
卢森堡,0.07947129972151794
沙特阿拉伯,0.07661499624172115
菲律宾,0.07638980917042142
埃及,0.07183333333333333
阿根廷,0.07112576542628356
罗马尼亚,0.0673271681977208
加拿大,0.06656369964968831
德国,0.06500259908317538
哥伦比亚,0.06356782604143034
阿曼,0.06347166267085197
葡萄牙,0.05901784521960374
奥地利,0.05684970202839387
克罗地亚,0.05503623568952841
波黑,0.05473355340721528
芬兰,0.05135874877810362
挪威,0.04538606839488719
以色列,0.040821466530326464
丹麦,0.04073156856958327
印度,0.04061828085431698
匈牙利,0.03655651749786611
波兰,0.03642259035824103
冰岛,0.035690195611633536
希腊,0.033101396662128774
俄罗斯,0.03285048780487805
马来西亚,0.03216005474051871
捷克,0.03013062814830913
南非,0.027601557699585347
科威特,0.025372077984897937
巴林,0.02346779508168291
伊拉克,0.022234703956925103
加纳,0.018530700817606303
韩国,0.0171053278032499
泰国,0.016672001257840446
哈萨克斯坦,0.013833600837157341
阿塞拜疆,0.012233112985335462
阿联酋,0.0118025
澳大利亚,0.010742259997125289
乌兹别克斯坦,0.008806940000659695
