国家,本周较上周新增确诊人数增速
全球平均,-0.026506702618757094
阿富汗,1.1925233644859814
智利,0.9525131051495528
尼日利亚,0.8814352574102964
伊拉克,0.6939501779359432
巴西,0.6897219591977275
科威特,0.6448275862068966
南非,0.611671469740634
秘鲁,0.5485743123896039
波黑,0.4761904761904763
阿尔及利亚,0.45019920318725104
印度,0.42238442822384425
俄罗斯,0.4105942881142377
哥伦比亚,0.4089414858645628
亚美尼亚,0.4065934065934067
埃及,0.38920863309352516
孟加拉,0.3645270270270271
巴基斯坦,0.3566265060240963
马来西亚,0.32480818414322243
墨西哥,0.2996059889676912
多米尼加,0.2501718213058419
菲律宾,0.24545454545454537
巴拿马,0.22687747035573125
哈萨克斯坦,0.19960668633235001
沙特阿拉伯,0.1628676470588235
阿塞拜疆,0.16194331983805665
白俄罗斯,0.09817030260380011
加拿大,0.08443918519144611
卡塔尔,0.07170903079148583
阿联酋,0.06894618834080712
乌克兰,0.04040404040404044
英国,0.03008574131144548
印度尼西亚,0.0013003901170351995
韩国,-0.02985074626865669
巴林,-0.03916449086161877
阿根廷,-0.04250797024442088
罗马尼亚,-0.07117903930131009
澳大利亚,-0.09090909090909094
美国,-0.10090131377940725
波兰,-0.10901287553648065
乌兹别克斯坦,-0.12171052631578949
加纳,-0.1354748603351955
瑞典,-0.13584018801410103
芬兰,-0.14501891551071877
匈牙利,-0.14726027397260277
伊朗,-0.160459492140266
塞尔维亚,-0.17517401392111365
丹麦,-0.20403022670025184
奥地利,-0.2184873949579832
阿曼,-0.2213114754098361
摩尔多瓦,-0.2382478632478633
喀麦隆,-0.2450331125827815
挪威,-0.25635103926097
西班牙,-0.2669289930245037
意大利,-0.3026787146447094
摩洛哥,-0.30743801652892566
土耳其,-0.33197615849563467
德国,-0.3444886686702948
新加坡,-0.3489198408186469
法国,-0.3573232323232324
瑞士,-0.36109008327024983
卢森堡,-0.4161849710982659
爱尔兰,-0.4405385190725505
捷克,-0.45043731778425655
荷兰,-0.47475915221579956
厄瓜多尔,-0.48539732850350914
比利时,-0.506153443309767
葡萄牙,-0.5100516944284894
中国,-0.5132743362831859
日本,-0.5551128818061088
克罗地亚,-0.5849056603773585
以色列,-0.608094262295082
希腊,-0.6134751773049645
冰岛,-0.6666666666666667
泰国,-0.7006369426751593
