国家,累计死亡人数
Afghanistan,68
Albania,31
Algeria,453
Andorra,43
Angola,2
Antigua and Barb.,3
Argentina,225
Armenia,33
Aruba,2
Australia,93
Austria,589
Azerbaijan,25
Bahamas,11
Bahrain,8
Bangladesh,170
Barbados,7
Belarus,93
Belgium,7703
Belize,2
Benin,2
Bermuda,6
Bolivia,66
Bosnia and Herz.,70
Botswana,1
Brazil,6329
British Virgin Islands,1
Brunei,1
Bulgaria,69
Burkina Faso,44
Burundi,1
Cameroon,61
Canada,3391
Cape Verde,2
Cayman Is.,1
Chad,5
Chile,234
China,4637
Colombia,314
Congo,10
Costa Rica,6
Côte d'Ivoire,15
Croatia,75
Cuba,64
Curaçao,1
Cyprus,20
Czech Rep.,240
Dem. Rep. Congo,32
Denmark,460
Djibouti,2
Dominican Rep.,313
Ecuador,1063
Egypt,406
El Salvador,10
Eq. Guinea,1
Estonia,52
Ethiopia,3
Finland,218
France,24594
Gabon,4
Gambia,1
Georgia,8
Germany,6575
Ghana,17
Greece,140
Guam,5
Guatemala,16
Guernsey,13
Guinea,7
Guinea-Bissau,1
Guyana,9
Haiti,8
Honduras,75
Hungary,335
Iceland,10
India,1218
Indonesia,800
Iran,6091
Iraq,94
Ireland,1265
Isle of Man,22
Israel,225
Italy,28236
Jamaica,8
Japan,458
Jersey,24
Jordan,8
Kazakhstan,25
Kenya,21
Kosovo,22
Kuwait,30
Kyrgyzstan,8
Latvia,16
Lebanon,24
Liberia,18
Libya,3
Liechtenstein,1
Lithuania,45
Luxembourg,92
Macedonia,81
Malawi,3
Malaysia,103
Maldives,1
Mali,26
Malta,4
Mauritania,1
Mauritius,10
Mexico,1972
Moldova,122
Monaco,4
Montenegro,7
Montserrat,1
Morocco,171
Myanmar,6
Netherlands,4893
New Zealand,20
Nicaragua,4
Niger,33
Nigeria,68
N. Mariana Is.,2
Norway,204
Oman,11
Pakistan,417
Palestine,4
Panama,192
Paraguay,10
Peru,1124
Philippines,579
Poland,651
Portugal,1007
Puerto Rico,94
Qatar,12
Romania,744
Russia,1169
San Marino,41
São Tomé and Principe,1
Saudi Arabia,169
Senegal,9
Serbia,185
Sierra Leone,7
Singapore,16
Sint Maarten (Dutch part),13
Slovakia,23
Slovenia,93
Somalia,28
South Africa,116
Korea,250
Spain,24824
Sri Lanka,7
Sudan,31
Suriname,1
Swaziland,1
Sweden,2653
Switzerland,1434
Syria,3
Tanzania,16
Thailand,54
Togo,9
Trinidad and Tobago,8
Tunisia,41
Turkey,3258
Turks and Caicos Is.,1
Ukraine,279
United Arab Emirates,111
United Kingdom,27510
United States,65068
U.S. Virgin Is.,4
Uruguay,17
Uzbekistan,9
Venezuela,10
Yemen,2
Zambia,3
Zimbabwe,4
