国家,确诊率
全球平均,0.000445
卢森堡,0.00609
西班牙,0.005252
卡塔尔,0.004894
爱尔兰,0.004289
比利时,0.004273
美国,0.003493
意大利,0.003462
瑞士,0.003433
新加坡,0.002999
英国,0.002685
法国,0.00258
葡萄牙,0.00247
荷兰,0.002348
瑞典,0.002186
德国,0.001969
巴林,0.00193
以色列,0.00187
奥地利,0.001727
白俄罗斯,0.001675
丹麦,0.001624
厄瓜多尔,0.001557
巴拿马,0.001557
土耳其,0.001475
加拿大,0.001453
挪威,0.001439
阿联酋,0.001375
秘鲁,0.00129
伊朗,0.001148
科威特,0.001082
塞尔维亚,0.001071
摩尔多瓦,0.001004
智利,0.000964
芬兰,0.000934
俄罗斯,0.00085
亚美尼亚,0.000767
沙特阿拉伯,0.000731
捷克,0.000724
多米尼加,0.000699
罗马尼亚,0.000662
克罗地亚,0.000509
阿曼,0.000486
巴西,0.000454
波兰,0.000353
匈牙利,0.000305
澳大利亚,0.000266
乌克兰,0.000261
希腊,0.000251
韩国,0.00021
哈萨克斯坦,0.000205
马来西亚,0.000191
墨西哥,0.000161
哥伦比亚,0.000138
摩洛哥,0.000128
日本,0.000113
南非,0.000107
阿根廷,0.0001
阿尔及利亚,9.8e-05
巴基斯坦,8.6e-05
菲律宾,8.1e-05
喀麦隆,7.8e-05
加纳,7e-05
乌兹别克斯坦,6.3e-05
阿富汗,6.3e-05
埃及,6.1e-05
中国,5.8e-05
伊拉克,5.5e-05
孟加拉,5.3e-05
泰国,4.2e-05
印度尼西亚,4e-05
印度,2.9e-05
尼日利亚,1.1e-05
