国家,病死率
全球平均,0.06966975690696521
比利时,0.15717548992105157
英国,0.15244454686252337
法国,0.14757577374283462
意大利,0.1370748444596307
荷兰,0.1246210347292401
瑞典,0.12004301653448043
匈牙利,0.1134089392928619
阿尔及利亚,0.10348681269557443
西班牙,0.1022329052047167
墨西哥,0.09330858384643245
印度尼西亚,0.07550035739814152
巴西,0.06945336984784521
埃及,0.06635730858468677
菲律宾,0.06581372655318227
伊朗,0.06367014288060437
加拿大,0.06190940579076571
爱尔兰,0.06058774295545429
罗马尼亚,0.06001671351515612
瑞士,0.058919913058017054
美国,0.05779354301967571
中国,0.055015759414176364
希腊,0.05483625285605483
厄瓜多尔,0.052948743990791525
阿根廷,0.051484725486007264
丹麦,0.05082432006720571
波兰,0.049514350398013586
哥伦比亚,0.044474948524365135
芬兰,0.04377617053673392
伊拉克,0.04224738675958188
多米尼加,0.04186572793562987
波黑,0.041464728056004305
德国,0.041361398846374534
葡萄牙,0.040649438291453295
奥地利,0.038340706546130664
克罗地亚,0.03769083969465649
尼日利亚,0.03559463986599665
摩洛哥,0.035488476442994084
印度,0.032725561698623694
日本,0.03253036854025118
捷克,0.03155589902112313
阿富汗,0.03143491124260355
喀麦隆,0.030813673567645642
摩尔多瓦,0.030332443581654937
秘鲁,0.028000348371363875
巴拿马,0.02778561354019746
土耳其,0.026950692213098495
挪威,0.026937316481552405
卢森堡,0.02510460251046025
乌克兰,0.024175270712666834
韩国,0.02316316130825535
巴基斯坦,0.022754431388169686
塞尔维亚,0.020393068469991546
南非,0.01931298835323603
孟加拉,0.01872025383395029
泰国,0.018187942068036377
马来西亚,0.016671959352175292
亚美尼亚,0.014668901927912825
以色列,0.014313919052319843
澳大利亚,0.013968534039111895
智利,0.013222804251640137
阿塞拜疆,0.012939958592132506
俄罗斯,0.009503515558294416
阿联酋,0.008896420249947044
加纳,0.008298755186721992
科威特,0.00762592815572948
哈萨克斯坦,0.006900076667518528
沙特阿拉伯,0.006812039539446892
白俄罗斯,0.005926369350493864
冰岛,0.005558643690939411
乌兹别克斯坦,0.0046816479400749065
阿曼,0.004672897196261682
巴林,0.0023647650014779783
卡塔尔,0.0009930486593843098
新加坡,0.0009887393573194177
