日期,新增确诊（左）,新增治愈（右）
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,5515,1097
2020-03-08,1233,770
2020-03-09,859,476
2020-03-10,815,289
2020-03-11,1112,426
2020-03-12,1540,186
2020-03-13,1426,336
2020-03-14,1944,287
2020-03-15,2034,871
2020-03-16,2182,290
2020-03-17,2042,23
2020-03-18,2304,871
2020-03-19,2389,359
2020-03-20,2753,375
2020-03-21,4747,1822
2020-03-22,1242,86
2020-03-23,3365,111
2020-03-24,4029,859
2020-03-25,4827,693
2020-03-26,5691,929
2020-03-27,5487,903
2020-03-28,9527,1135
2020-03-29,8525,841
2020-03-30,8795,1090
2020-03-31,8446,2138
2020-04-01,10496,1387
2020-04-02,10223,1692
2020-04-03,11625,2122
2020-04-04,11336,1828
2020-04-05,10935,2868
2020-04-06,11842,998
2020-04-07,12486,6156
2020-04-08,12451,4264
2020-04-09,12701,4096
2020-04-10,13548,4388
2020-04-11,14884,5167
2020-04-12,15516,8771
2020-04-13,15140,4800
2020-04-14,15765,4402
2020-04-15,15768,5688
2020-04-16,16871,5075
2020-04-17,18727,6565
2020-04-18,18257,6465
2020-04-19,18345,6945
2020-04-20,20634,5371
2020-04-21,19760,6435
2020-04-22,21887,7243
2020-04-23,19443,8262
2020-04-24,20296,7666
2020-04-25,21207,9669
2020-04-26,20779,9649
2020-04-27,20443,8719
2020-04-28,19424,9758
2020-04-29,20331,11608
2020-04-30,21112,12522
2020-05-01,22355,13157
2020-05-02,24009,12780
2020-05-03,23704,11631
2020-05-04,25734,12704
2020-05-05,26739,12270
2020-05-06,26742,14371
2020-05-07,28916,14758
2020-05-08,29041,15662
2020-05-09,29473,15437
2020-05-10,29268,16789
2020-05-11,31119,13854
2020-05-12,28706,17306
2020-05-13,31101,17739
2020-05-14,31687,18968
2020-05-15,30357,19111
2020-05-16,32103,19854
2020-05-17,31834,20974
2020-05-18,32150,18116
2020-05-19,31638,16577
2020-05-20,33519,23385
2020-05-21,33557,25112
2020-05-22,35073,24419
2020-05-23,35996,25658
