国家,本周较上周新增病死人数增速
各国平均,-0.08000526350417791
南非,0.6164383561643836
埃及,0.44715447154471555
俄罗斯,0.3713278495887191
印度,0.3209628886659981
沙特阿拉伯,0.3116883116883118
智利,0.2857142857142858
瑞典,0.2672955974842768
哥伦比亚,0.25735294117647056
秘鲁,0.1741176470588235
孟加拉,0.14492753623188404
巴基斯坦,0.101123595505618
墨西哥,0.09180918091809187
加拿大,0.07132243684992567
西班牙,0.0
荷兰,-0.007092198581560294
土耳其,-0.02358490566037741
比利时,-0.06896551724137934
巴西,-0.07386536704233937
伊朗,-0.11137440758293837
印度尼西亚,-0.15267175572519087
英国,-0.22996831145314622
美国,-0.25149700598802394
德国,-0.32564841498559083
意大利,-0.3775720164609053
法国,-0.37906647807637905
厄瓜多尔,-0.41666666666666663
