日期,新增确诊人数
"2020-02-01",
"2020-02-02",2841.0
"2020-02-03",3240.0
"2020-02-04",3898.0
"2020-02-05",3729.0
"2020-02-06",3176.0
"2020-02-07",3441.0
"2020-02-08",2671.0
"2020-02-09",3003.0
"2020-02-10",2485.0
"2020-02-11",2098.0
"2020-02-12",15198.0
"2020-02-13",4056.0
"2020-02-14",2702.0
"2020-02-15",2029.0
"2020-02-16",2208.0
"2020-02-17",2004.0
"2020-02-18",1761.0
"2020-02-19",516.0
"2020-02-20",1487.0
"2020-02-21",506.0
"2020-02-22",656.0
"2020-02-23",783.0
"2020-02-24",817.0
"2020-02-25",801.0
"2020-02-26",899.0
"2020-02-27",1075.0
"2020-02-28",1457.0
"2020-02-29",1897.0
"2020-03-01",1366.0
"2020-03-02",1733.0
"2020-03-03",1912.0
"2020-03-04",2245.0
"2020-03-05",2245.0
"2020-03-06",2816.0
"2020-03-07",3796.0
"2020-03-08",4016.0
"2020-03-09",4051.0
"2020-03-10",4344.0
"2020-03-11",4445.0
"2020-03-12",7144.0
"2020-03-13",8486.0
"2020-03-14",10804.0
"2020-03-15",11101.0
"2020-03-16",13146.0
"2020-03-17",12328.0
"2020-03-18",16353.0
"2020-03-19",20542.0
"2020-03-20",26193.0
"2020-03-21",37863.0
"2020-03-22",24124.0
"2020-03-23",28512.0
"2020-03-24",42982.0
"2020-03-25",42313.0
"2020-03-26",46560.0
"2020-03-27",58674.0
"2020-03-28",64587.0
"2020-03-29",68014.0
"2020-03-30",60225.0
"2020-03-31",61609.0
"2020-04-01",73533.0
"2020-04-02",76780.0
"2020-04-03",78908.0
"2020-04-04",84597.0
"2020-04-05",102620.0
"2020-04-06",71585.0
"2020-04-07",71926.0
"2020-04-08",83187.0
"2020-04-09",82778.0
"2020-04-10",88913.0
"2020-04-11",95164.0
"2020-04-12",82804.0
"2020-04-13",73794.0
"2020-04-14",69579.0
"2020-04-15",69601.0
"2020-04-16",81293.0
"2020-04-17",91940.0
"2020-04-18",75862.0
"2020-04-19",88389.0
"2020-04-20",79221.0
"2020-04-21",71412.0
"2020-04-22",77146.0
"2020-04-23",78413.0
"2020-04-24",80343.0
"2020-04-25",107882.0
"2020-04-26",89875.0
"2020-04-27",61899.0
"2020-04-28",65744.0
"2020-04-29",70902.0
"2020-04-30",76586.0
"2020-05-01",90840.0
"2020-05-02",89548.0
"2020-05-03",79520.0
"2020-05-04",86729.0
"2020-05-05",75825.0
"2020-05-06",78159.0
"2020-05-07",93549.0
"2020-05-08",91716.0
"2020-05-09",94808.0
"2020-05-10",82532.0
"2020-05-11",87394.0
"2020-05-12",69117.0
"2020-05-13",85507.0
"2020-05-14",86389.0
"2020-05-15",93042.0
"2020-05-16",97756.0
"2020-05-17",95768.0
"2020-05-18",86373.0
"2020-05-19",76337.0
"2020-05-20",100643.0
"2020-05-21",97368.0
"2020-05-22",104020.0
"2020-05-23",109386.0
"2020-05-24",105754.0
"2020-05-25",97559.0
"2020-05-26",83789.0
"2020-05-27",82844.0
"2020-05-28",110750.0
"2020-05-29",105554.0
"2020-05-30",124610.0
"2020-05-31",121855.0
