国家,累计检测数
美国,17152320.0
俄罗斯,10316200.0
英国,4043686.0
德国,3952971.0
意大利,3824621.0
印度,3611599.0
西班牙,3556567.0
阿联酋,2110493.0
土耳其,2003594.0
加拿大,1631250.0
澳大利亚,1428538.0
法国,1384633.0
秘鲁,1012708.0
巴西,930013.0
韩国,902901.0
波兰,899069.0
伊朗,896571.0
比利时,848065.0
沙特阿拉伯,806569.0
葡萄牙,795838.0
哈萨克斯坦,788289.0
南非,701883.0
丹麦,618860.0
以色列,567429.0
智利,563320.0
马来西亚,546368.0
巴基斯坦,532037.0
白俄罗斯,526559.0
乌兹别克斯坦,460000.0
奥地利,442143.0
捷克,436372.0
罗马尼亚,425819.0
瑞士,394717.0
泰国,375453.0
荷兰,349150.0
乌克兰,348279.0
菲律宾,340954.0
新加坡,334691.0
爱尔兰,325795.0
印度尼西亚,311906.0
巴林,309573.0
哥伦比亚,306411.0
孟加拉,297054.0
阿塞拜疆,294264.0
科威特,290013.0
日本,284763.0
挪威,245352.0
墨西哥,244858.0
塞尔维亚,242782.0
瑞典,238800.0
卡塔尔,217988.0
加纳,211622.0
伊拉克,211485.0
摩洛哥,199998.0
匈牙利,183562.0
芬兰,182700.0
希腊,178316.0
阿根廷,150486.0
埃及,135000.0
厄瓜多尔,113808.0
古巴,103123.0
萨尔瓦多,86972.0
保加利亚,80742.0
多米尼加,76930.0
卢森堡,74366.0
阿曼,72000.0
克罗地亚,66144.0
波黑,64623.0
巴拿马,63202.0
尼日利亚,60825.0
亚美尼亚,57081.0
塞内加尔,40735.0
摩尔多瓦,40565.0
阿富汗,37348.0
危地马拉,31427.0
北马其顿,28804.0
科特迪瓦,26905.0
吉布提,26366.0
玻利维亚,22294.0
洪都拉斯,14790.0
几内亚,14407.0
加蓬,13833.0
苏丹,401.0
阿尔及利亚,0.0
