日期,新增确诊（左）,新增治愈（右）
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,5515.0,1097.0
2020-03-08,1233.0,770.0
2020-03-09,859.0,476.0
2020-03-10,815.0,289.0
2020-03-11,1112.0,426.0
2020-03-12,1540.0,186.0
2020-03-13,1426.0,336.0
2020-03-14,1944.0,287.0
2020-03-15,2034.0,871.0
2020-03-16,2182.0,290.0
2020-03-17,2042.0,23.0
2020-03-18,2304.0,871.0
2020-03-19,2389.0,359.0
2020-03-20,2753.0,375.0
2020-03-21,4747.0,1822.0
2020-03-22,1242.0,86.0
2020-03-23,3365.0,111.0
2020-03-24,4029.0,859.0
2020-03-25,4827.0,693.0
2020-03-26,5691.0,929.0
2020-03-27,5487.0,903.0
2020-03-28,9527.0,1135.0
2020-03-29,8525.0,841.0
2020-03-30,8795.0,1090.0
2020-03-31,8446.0,2138.0
2020-04-01,10496.0,1387.0
2020-04-02,10223.0,1692.0
2020-04-03,11625.0,2122.0
2020-04-04,11336.0,1828.0
2020-04-05,10935.0,2868.0
2020-04-06,11842.0,998.0
2020-04-07,12486.0,6156.0
2020-04-08,12451.0,4264.0
2020-04-09,12701.0,4096.0
2020-04-10,13548.0,4388.0
2020-04-11,14884.0,5167.0
2020-04-12,15516.0,8771.0
2020-04-13,15140.0,4800.0
2020-04-14,15765.0,4402.0
2020-04-15,15768.0,5688.0
2020-04-16,16871.0,5075.0
2020-04-17,18727.0,6565.0
2020-04-18,18257.0,6465.0
2020-04-19,18345.0,6945.0
2020-04-20,20634.0,5371.0
2020-04-21,19760.0,6435.0
2020-04-22,21887.0,7243.0
2020-04-23,19443.0,8262.0
2020-04-24,20296.0,7666.0
2020-04-25,21207.0,9669.0
2020-04-26,20779.0,9649.0
2020-04-27,20443.0,8719.0
2020-04-28,19424.0,9758.0
2020-04-29,20331.0,11608.0
2020-04-30,21112.0,12522.0
2020-05-01,22355.0,13157.0
2020-05-02,24009.0,12780.0
2020-05-03,23704.0,11631.0
2020-05-04,25734.0,12704.0
2020-05-05,26739.0,12270.0
2020-05-06,26742.0,14371.0
2020-05-07,28916.0,14758.0
2020-05-08,29041.0,15662.0
2020-05-09,29473.0,15437.0
2020-05-10,29268.0,16789.0
2020-05-11,31119.0,13854.0
2020-05-12,28706.0,17306.0
2020-05-13,31101.0,17739.0
2020-05-14,31687.0,18968.0
2020-05-15,30357.0,19111.0
2020-05-16,32103.0,19854.0
2020-05-17,31834.0,20974.0
2020-05-18,32150.0,18116.0
2020-05-19,31638.0,16577.0
2020-05-20,33519.0,23385.0
2020-05-21,33557.0,25112.0
2020-05-22,35073.0,24419.0
2020-05-23,35996.0,25658.0
2020-05-24,35976.0,24192.0
2020-05-25,34976.0,20466.0
2020-05-26,32796.0,20254.0
2020-05-27,31567.0,30225.0
2020-05-28,33739.0,28320.0
2020-05-29,35741.0,28800.0
2020-05-30,39866.0,39870.0
2020-05-31,38211.0,31048.0
