国家,确诊率
各国平均,0.000785
卡塔尔,0.019211
卢森堡,0.006425
巴林,0.006366
科威特,0.006142
西班牙,0.006124
新加坡,0.005878
美国,0.005485
爱尔兰,0.005054
比利时,0.005022
智利,0.004966
秘鲁,0.004727
白俄罗斯,0.004408
英国,0.004021
意大利,0.003848
瑞典,0.003677
瑞士,0.003566
阿联酋,0.003431
吉布提,0.003237
葡萄牙,0.003157
亚美尼亚,0.003013
巴拿马,0.002908
法国,0.00289
俄罗斯,0.002718
荷兰,0.0027
沙特阿拉伯,0.002399
加拿大,0.002391
巴西,0.00221
厄瓜多尔,0.002189
德国,0.002188
阿曼,0.002046
丹麦,0.002009
摩尔多瓦,0.002007
土耳其,0.001936
奥地利,0.001853
以色列,0.00185
伊朗,0.001775
多米尼加,0.00156
挪威,0.001557
塞尔维亚,0.001302
芬兰,0.001232
加蓬,0.001177
北马其顿,0.001039
罗马尼亚,0.000994
捷克,0.000862
波黑,0.00076
玻利维亚,0.000749
墨西哥,0.000657
波兰,0.000623
哈萨克斯坦,0.000554
克罗地亚,0.000547
乌克兰,0.00053
哥伦比亚,0.000525
南非,0.000523
阿塞拜疆,0.000518
洪都拉斯,0.000494
匈牙利,0.0004
塔吉克斯坦,0.0004
阿富汗,0.000374
萨尔瓦多,0.000369
保加利亚,0.000359
阿根廷,0.000341
巴基斯坦,0.000301
几内亚,0.000283
澳大利亚,0.000282
希腊,0.00028
孟加拉,0.000271
危地马拉,0.000258
加纳,0.00025
马来西亚,0.00024
埃及,0.00023
韩国,0.000223
喀麦隆,0.000214
阿尔及利亚,0.000212
塞内加尔,0.000212
摩洛哥,0.000211
古巴,0.000179
菲律宾,0.000157
伊拉克,0.000154
印度,0.000132
日本,0.000132
苏丹,0.00011
乌兹别克斯坦,0.000106
科特迪瓦,0.000106
印度尼西亚,9.4e-05
中国,5.8e-05
尼日利亚,4.5e-05
泰国,4.4e-05
刚果,3.3e-05
