国家,病死率
各国平均,0.06090201365375004
比利时,0.16246176056095968
法国,0.1525301524188204
意大利,0.1432967713096998
英国,0.14066108068879066
匈牙利,0.13550555986552884
荷兰,0.12865079879801977
瑞典,0.11842211623959259
西班牙,0.11338555687461334
墨西哥,0.11125290982783273
厄瓜多尔,0.08643799745923103
加拿大,0.07844420291462413
阿尔及利亚,0.06970972267184633
爱尔兰,0.06622808776926471
罗马尼亚,0.06580254011393927
瑞士,0.06221429729291619
波黑,0.06134723336006415
印度尼西亚,0.06103286384976526
北马其顿,0.060536044362292055
希腊,0.060034305317324184
巴西,0.059668590658345934
美国,0.05814718599450458
保加利亚,0.05562224889955982
菲律宾,0.05515559684161635
中国,0.05492556374085067
苏丹,0.05458333333333333
日本,0.05227585381900832
伊朗,0.05192346424974824
丹麦,0.04908450098856701
德国,0.046919157200999484
芬兰,0.04629358335774978
克罗地亚,0.0458593054318789
波兰,0.04501293962920538
葡萄牙,0.04334999844734962
古巴,0.04098765432098765
洪都拉斯,0.040728612361850186
奥地利,0.04003596044351214
埃及,0.03893556228410593
摩尔多瓦,0.03593479871573228
捷克,0.03457619770214611
玻利维亚,0.03436032527774596
阿根廷,0.03398404565795447
喀麦隆,0.03269128821346528
哥伦比亚,0.031961930455635494
伊拉克,0.03155850461239683
乌克兰,0.029994828477848647
多米尼加,0.029453513129879347
印度,0.028516116968327038
秘鲁,0.02807844749503761
尼日利亚,0.02805848204687164
挪威,0.027978660343805573
土耳其,0.02768189426313434
卢森堡,0.027390438247011952
摩洛哥,0.02622107969151671
巴拿马,0.026015481605618066
韩国,0.02351193077528188
刚果,0.023263654753877275
塞尔维亚,0.02126350935770143
巴基斯坦,0.020991016747671426
南非,0.020764039138437693
危地马拉,0.019535489472541783
泰国,0.018524536886577837
萨尔瓦多,0.01837160751565762
阿富汗,0.017142857142857144
以色列,0.016694098283564544
马来西亚,0.014815769131667097
澳大利亚,0.014335421016005568
亚美尼亚,0.014226503864680183
孟加拉,0.01367467718794835
塔吉克斯坦,0.012345679012345678
塞内加尔,0.011881188118811881
科特迪瓦,0.011789924973204717
阿塞拜疆,0.011627906976744186
俄罗斯,0.011485847569816554
智利,0.010510447194754264
科威特,0.007826817348808796
阿联酋,0.007729525607741326
吉布提,0.0068879148403256105
几内亚,0.0062061521856449
沙特阿拉伯,0.005756500047970833
加蓬,0.0057405281285878304
白俄罗斯,0.005497143405828412
加纳,0.004505664263645726
阿曼,0.004029550033579583
乌兹别克斯坦,0.003948110547095319
哈萨克斯坦,0.003660181082643036
巴林,0.0015750949689613638
新加坡,0.0006692661351335623
卡塔尔,0.0006514422206941479
