国家,治愈率
各国平均,0.44705542297967626
泰国,0.962300942476438
卢森堡,0.9499501992031872
中国,0.9436554765930778
奥地利,0.9301768055139347
瑞士,0.9207326957367482
澳大利亚,0.9194154488517745
克罗地亚,0.9185218165627783
挪威,0.9160640189685832
韩国,0.9088366401538327
德国,0.8996475607493971
丹麦,0.8877331728702829
古巴,0.8864197530864197
爱尔兰,0.8860764571382727
以色列,0.8706207383023747
日本,0.8525629523296848
西班牙,0.8233066363469159
马来西亚,0.8155114661169801
芬兰,0.8057427483152652
乌兹别克斯坦,0.7848279751833052
伊朗,0.7843370258475999
土耳其,0.7785509769900002
波黑,0.7341619887730554
北马其顿,0.7093345656192237
捷克,0.7079991328853241
沙特阿拉伯,0.7061666506763887
墨西哥,0.704385125314616
摩洛哥,0.6942159383033419
罗马尼亚,0.6818585689646162
意大利,0.6689174087955163
阿塞拜疆,0.6341974837971788
喀麦隆,0.6080579607704542
新加坡,0.6031251818657976
巴拿马,0.6017077647434362
阿尔及利亚,0.5987914103809215
葡萄牙,0.5957830015837033
塞尔维亚,0.5804410860205605
多米尼加,0.5652353915306364
匈牙利,0.5539177657098526
摩尔多瓦,0.550135836008891
几内亚,0.5477603885590934
巴林,0.5397943111275827
加拿大,0.5330723332520019
南非,0.5204249685148706
阿联酋,0.5176421996695776
伊拉克,0.5033176889464315
哈萨克斯坦,0.5027932960893855
塞内加尔,0.4981612446958982
厄瓜多尔,0.4975240465634803
科特迪瓦,0.4948195784208646
塔吉克斯坦,0.48988705017073814
印度,0.4781248109466691
希腊,0.47135506003430533
卡塔尔,0.46757265390322467
波兰,0.46735395189003437
白俄罗斯,0.4312256949445485
萨尔瓦多,0.42839248434238
秘鲁,0.4268425075961483
智利,0.4262265702418352
保加利亚,0.4257703081232493
俄罗斯,0.4222883439450293
巴西,0.4114523652318374
吉布提,0.4026299311208516
乌克兰,0.40126702292708155
科威特,0.3877519853390348
亚美尼亚,0.37156939621373364
巴基斯坦,0.36310697142513204
法国,0.3619244532803181
加纳,0.3269824922760041
阿根廷,0.3105259744471107
美国,0.29116302087179446
尼日利亚,0.2899376478176736
印度尼西亚,0.27218406859892136
加蓬,0.2713356295445848
比利时,0.2710102086412539
苏丹,0.265
哥伦比亚,0.2590302757793765
埃及,0.24278220819651158
阿曼,0.22987623524896864
菲律宾,0.22108685555039478
孟加拉,0.2101640961262554
刚果,0.14430209035738367
危地马拉,0.14065552420230085
瑞典,0.1339422843747474
洪都拉斯,0.10806385591485879
阿富汗,0.08970740103270224
玻利维亚,0.08578627877677242
