国家,本周较上周新增确诊人数增速
各国平均,0.06924741241481969
以色列,1.8846153846153846
菲律宾,1.3417119565217392
巴拿马,1.2662662662662663
韩国,1.15625
法国,0.9832474226804124
哥伦比亚,0.5375381485249238
阿根廷,0.5047318611987381
秘鲁,0.4668357035240509
埃及,0.44680851063829796
阿曼,0.42100538599640935
南非,0.37721808815111624
墨西哥,0.2632180623035152
阿富汗,0.25889877641824244
印度,0.2361496014714899
智利,0.22950135614437728
哈萨克斯坦,0.19043015949734166
卡塔尔,0.16083978293746104
孟加拉,0.13056031760353703
巴西,0.12273201067081252
瑞典,0.11791512389632586
罗马尼亚,0.10667823070251514
多米尼加,0.07525951557093435
中国,0.045454545454545414
葡萄牙,0.04274533413606263
巴基斯坦,0.028009972136676886
伊朗,0.019829466587348854
荷兰,-0.0008375209380234727
波兰,-0.012715033657442087
白俄罗斯,-0.022703032149931412
土耳其,-0.026512665704160665
巴林,-0.031143552311435507
乌克兰,-0.036002939015429836
俄罗斯,-0.049280220554833276
美国,-0.07293777852153482
新加坡,-0.11153017241379315
科威特,-0.14019813869708797
西班牙,-0.14242160278745641
阿联酋,-0.1456310679611651
印度尼西亚,-0.1466101694915254
加拿大,-0.1495665674731531
德国,-0.15288092189500635
丹麦,-0.20185614849187938
瑞士,-0.21568627450980393
比利时,-0.2443712246018671
意大利,-0.2693234070505802
沙特阿拉伯,-0.2712593000826674
英国,-0.28368011769651114
奥地利,-0.30175438596491233
厄瓜多尔,-0.3381974248927039
爱尔兰,-0.35018726591760296
日本,-0.4504504504504504
塞尔维亚,-0.5151006711409396
