国家,本周较上周新增病死人数增速
各国平均,-0.08000526350417791
巴林,3.0
哈萨克斯坦,2.0
奥地利,1.9
卡塔尔,1.5
菲律宾,0.8913043478260869
南非,0.6164383561643836
埃及,0.44715447154471555
科威特,0.3902439024390243
俄罗斯,0.3713278495887191
多米尼加,0.33333333333333326
印度,0.3209628886659981
沙特阿拉伯,0.3116883116883118
智利,0.2857142857142858
瑞典,0.2672955974842768
哥伦比亚,0.25735294117647056
秘鲁,0.1741176470588235
孟加拉,0.14492753623188404
阿根廷,0.11842105263157898
巴基斯坦,0.101123595505618
墨西哥,0.09180918091809187
加拿大,0.07132243684992567
巴拿马,0.06896551724137923
白俄罗斯,0.02941176470588225
罗马尼亚,0.012195121951219523
西班牙,0.0
荷兰,-0.007092198581560294
土耳其,-0.02358490566037741
葡萄牙,-0.0505050505050505
比利时,-0.06896551724137934
巴西,-0.07386536704233937
伊朗,-0.11137440758293837
波兰,-0.1282051282051282
印度尼西亚,-0.15267175572519087
乌克兰,-0.15740740740740744
英国,-0.22996831145314622
韩国,-0.25
美国,-0.25149700598802394
日本,-0.3052631578947368
阿富汗,-0.3125
德国,-0.32564841498559083
爱尔兰,-0.3380281690140845
意大利,-0.3775720164609053
法国,-0.37906647807637905
阿联酋,-0.4
厄瓜多尔,-0.41666666666666663
丹麦,-0.4444444444444444
瑞士,-0.46153846153846156
以色列,-0.5454545454545454
塞尔维亚,-0.6
阿曼,-0.6
中国,-1.0
新加坡,-1.0
