name,value
开始日期,"2020-05-25"
结束日期,"2020-05-31"
当前全球确诊数量,6068223.0
当前全球死亡数量,369567.0
当前全球确诊率,0.000785
当前全球病死率,0.06090201365375004
当前全球确诊最多国家,美国
当前全球确诊最多国家确诊数,1814602
当前全球确诊第二多国家,巴西
当前全球确诊第二多国家确诊数,469510.0
当前全球死亡最多国家,美国
当前全球死亡最多国家死亡数,105514
当前全球死亡第二多国家,英国
当前全球死亡第二多国家死亡数,38376
上周全球确诊病例,726961.0
上周全球确诊较前一周,0.06924741241481969
上周全球死亡病例,27966.0
上周全球死亡较前一周,-0.08000526350417791
上周确诊最多国家,美国
上周确诊最多国家确诊数,149575.0
上周确诊第二多国家,巴西
上周确诊第二多国家确诊数,127100.0
上周死亡最多国家,美国
上周死亡最多国家死亡数,6875
上周死亡第二多国家,巴西
上周死亡第二多国家死亡数,6081.0
上周确诊增速最快国家,菲律宾
上周确诊增速最快国家增速值,1.3417119565217392
上周确诊增速第二快国家,巴拿马
上周确诊增速第二快国家增速值,1.2662662662662663
上周死亡增速最快国家,南非
上周死亡增速最快国家增速值,0.6164383561643836
上周死亡增速第二快国家,埃及
上周死亡增速第二快国家增速值,0.44715447154471555
当前全球确诊第三多国家,俄罗斯
当前全球确诊第三多国家确诊数,396575.0
所有疫情数据截止小时,12
所有疫情数据截止分钟,0
