日期,新增病死人数
"2020-02-01",
"2020-02-02",58.0
"2020-02-03",64.0
"2020-02-04",66.0
"2020-02-05",73.0
"2020-02-06",73.0
"2020-02-07",86.0
"2020-02-08",89.0
"2020-02-09",97.0
"2020-02-10",108.0
"2020-02-11",97.0
"2020-02-12",146.0
"2020-02-13",121.0
"2020-02-14",144.0
"2020-02-15",142.0
"2020-02-16",107.0
"2020-02-17",98.0
"2020-02-18",136.0
"2020-02-19",115.0
"2020-02-20",123.0
"2020-02-21",109.0
"2020-02-22",100.0
"2020-02-23",156.0
"2020-02-24",77.0
"2020-02-25",63.0
"2020-02-26",39.0
"2020-02-27",57.0
"2020-02-28",57.0
"2020-02-29",54.0
"2020-03-01",60.0
"2020-03-02",55.0
"2020-03-03",76.0
"2020-03-04",79.0
"2020-03-05",83.0
"2020-03-06",96.0
"2020-03-07",113.0
"2020-03-08",100.0
"2020-03-09",227.0
"2020-03-10",203.0
"2020-03-11",252.0
"2020-03-12",331.0
"2020-03-13",358.0
"2020-03-14",446.0
"2020-03-15",403.0
"2020-03-16",692.0
"2020-03-17",630.0
"2020-03-18",821.0
"2020-03-19",970.0
"2020-03-20",1080.0
"2020-03-21",1787.0
"2020-03-22",1208.0
"2020-03-23",1582.0
"2020-03-24",1880.0
"2020-03-25",2309.0
"2020-03-26",2360.0
"2020-03-27",2561.0
"2020-03-28",3245.0
"2020-03-29",3505.0
"2020-03-30",3426.0
"2020-03-31",3654.0
"2020-04-01",4463.0
"2020-04-02",4767.0
"2020-04-03",6074.0
"2020-04-04",5924.0
"2020-04-05",5798.0
"2020-04-06",4744.0
"2020-04-07",5121.0
"2020-04-08",7415.0
"2020-04-09",6243.0
"2020-04-10",7285.0
"2020-04-11",7014.0
"2020-04-12",6078.0
"2020-04-13",5425.0
"2020-04-14",5310.0
"2020-04-15",6739.0
"2020-04-16",8069.0
"2020-04-17",11397.0
"2020-04-18",8401.0
"2020-04-19",5929.0
"2020-04-20",5109.0
"2020-04-21",5092.0
"2020-04-22",7229.0
"2020-04-23",6546.0
"2020-04-24",6387.0
"2020-04-25",6465.0
"2020-04-26",5983.0
"2020-04-27",4170.0
"2020-04-28",4337.0
"2020-04-29",5922.0
"2020-04-30",10381.0
"2020-05-01",6273.0
"2020-05-02",5469.0
"2020-05-03",4995.0
"2020-05-04",3877.0
"2020-05-05",3630.0
"2020-05-06",5698.0
"2020-05-07",6710.0
"2020-05-08",6041.0
"2020-05-09",5338.0
"2020-05-10",4112.0
"2020-05-11",4073.0
"2020-05-12",2979.0
"2020-05-13",5255.0
"2020-05-14",5236.0
"2020-05-15",4963.0
"2020-05-16",4891.0
"2020-05-17",4295.0
"2020-05-18",4322.0
"2020-05-19",2787.0
"2020-05-20",4899.0
"2020-05-21",4484.0
"2020-05-22",4341.0
"2020-05-23",4926.0
"2020-05-24",4639.0
"2020-05-25",2706.0
"2020-05-26",2620.0
"2020-05-27",3476.0
"2020-05-28",5548.0
"2020-05-29",4523.0
