国家,本周较上周新增确诊人数增速
全球平均,-0.026506702618757094
智利,0.9525131051495528
巴西,0.6897219591977275
秘鲁,0.5485743123896039
印度,0.42238442822384425
俄罗斯,0.4105942881142377
巴基斯坦,0.3566265060240963
墨西哥,0.2996059889676912
沙特阿拉伯,0.1628676470588235
白俄罗斯,0.09817030260380011
加拿大,0.08443918519144611
卡塔尔,0.07170903079148583
阿联酋,0.06894618834080712
乌克兰,0.04040404040404044
英国,0.03008574131144548
印度尼西亚,0.0013003901170351995
韩国,-0.02985074626865669
罗马尼亚,-0.07117903930131009
美国,-0.10090131377940725
波兰,-0.10901287553648065
瑞典,-0.13584018801410103
伊朗,-0.160459492140266
奥地利,-0.2184873949579832
西班牙,-0.2669289930245037
意大利,-0.3026787146447094
土耳其,-0.33197615849563467
德国,-0.3444886686702948
新加坡,-0.3489198408186469
法国,-0.3573232323232324
瑞士,-0.36109008327024983
爱尔兰,-0.4405385190725505
荷兰,-0.47475915221579956
厄瓜多尔,-0.48539732850350914
比利时,-0.506153443309767
葡萄牙,-0.5100516944284894
中国,-0.5132743362831859
日本,-0.5551128818061088
以色列,-0.608094262295082
