国家,本周较上周新增死亡人数增速
全球平均,0.004040207364859993
厄瓜多尔,8.686274509803921
新加坡,5.0
卡塔尔,3.5
秘鲁,0.7012195121951219
英国,0.6511130136986301
巴西,0.6179001721170396
印度,0.5758513931888545
巴基斯坦,0.5575221238938053
阿联酋,0.4285714285714286
俄罗斯,0.38082901554404147
智利,0.2678571428571428
乌克兰,0.16176470588235303
墨西哥,0.15419847328244285
加拿大,0.14841351074718534
白俄罗斯,0.08000000000000007
沙特阿拉伯,0.0714285714285714
以色列,0.06896551724137923
罗马尼亚,0.017857142857142794
中国,0.0
韩国,0.0
日本,-0.08064516129032262
美国,-0.11701055178439412
伊朗,-0.16722972972972971
波兰,-0.18285714285714283
西班牙,-0.2422360248447205
土耳其,-0.24873096446700504
意大利,-0.24932975871313678
瑞典,-0.2584097859327217
荷兰,-0.2654867256637168
葡萄牙,-0.2751322751322751
瑞士,-0.2995391705069125
德国,-0.3343151693667158
法国,-0.35022307202039515
印度尼西亚,-0.36645962732919257
奥地利,-0.37777777777777777
比利时,-0.4684620836286322
爱尔兰,-0.5471698113207547
