国家,累计确诊人数
Falkland Is.,13
Malta,489
Palestine,547
Bangladesh,13134
Ukraine,14195
Sierra Leone,257
Kosovo,862
Suriname,10
Luxembourg,3871
Norway,8034
Aruba,101
Chile,25972
Japan,15628
Faeroe Is.,187
Sri Lanka,835
Malawi,43
Sweden,25265
Dem. Rep. Congo,937
Ecuador,28818
Jordan,508
Fiji,18
Iraq,2603
United Kingdom,211364
Central African Rep.,143
Dominica,16
Latvia,928
Barbados,83
Costa Rica,773
Panama,8070
Bolivia,2266
Bosnia and Herz.,2070
Gibraltar,146
W. Sahara,6
New Zealand,1142
Portugal,27268
Israel,16436
Liberia,199
Paraguay,563
Slovakia,1455
Seychelles,11
Syria,47
Togo,145
Zimbabwe,35
Ethiopia,194
Montenegro,324
Saint Lucia,18
Zambia,167
United Arab Emirates,16793
Pakistan,27474
Senegal,1551
Vatican,12
Hong Kong,0
Bulgaria,1911
Argentina,5598
Belize,18
Colombia,10051
Cuba,1741
Cape Verde,230
Switzerland,30124
Oman,3112
Turkey,135569
Greece,2691
Ireland,22541
Mozambique,82
Malaysia,6535
Mauritania,8
Belarus,21101
Algeria,5369
Djibouti,1135
Lebanon,796
Nigeria,3912
Comoros,8
Iceland,1801
Bhutan,7
Guyana,94
Andorra,752
Vietnam,288
Myanmar,177
Brazil,145328
Benin,242
Korea,10840
Singapore,21707
Romania,14811
France,138421
Curaçao,16
Iran,104691
Papua New Guinea,8
Cayman Is.,81
Yemen,34
Tajikistan,522
Lithuania,1436
Trinidad and Tobago,116
Gambia,20
S. Sudan,120
Ghana,4012
Jamaica,490
Swaziland,159
Saint Kitts and Nevis,15
Uganda,101
St. Vin. and Gren.,17
Tunisia,1030
Eq. Guinea,439
India,59662
Sudan,1111
Thailand,3000
Azerbaijan,2279
Cambodia,122
Finland,5738
Maldives,644
Poland,15366
Congo,287
Egypt,8476
Guinea-Bissau,594
New Caledonia,18
Puerto Rico,2156
San Marino,623
Kenya,621
Afghanistan,3778
Czech Rep.,8077
Libya,64
Kuwait,7208
Somalia,928
Canada,66434
Uruguay,694
United States,1283929
Brunei,141
Timor-Leste,24
Mauritius,332
Albania,850
Guam,151
World,3898658
Honduras,1771
Antigua and Barb.,25
Germany,168551
Macedonia,1586
Philippines,10463
Peru,61847
Tanzania,509
U.S. Virgin Is.,68
Indonesia,13112
International,696
Jersey,293
China,83976
Monaco,95
Bonaire Sint Eustatius and Saba,6
Botswana,23
Lao PDR,19
Mexico,31522
Mongolia,42
Netherlands,42093
Namibia,16
Greenland,11
Hungary,3213
Estonia,1725
Haiti,146
Croatia,2161
Qatar,20201
Russia,187859
Montserrat,11
Liechtenstein,83
Moldova,4728
Nicaragua,16
El Salvador,784
Turks and Caicos Is.,12
Bermuda,118
Anguilla,3
Burundi,19
Morocco,5711
Italy,217185
Belgium,52011
Uzbekistan,2336
Serbia,9943
Taiwan,440
Venezuela,388
South Africa,8895
Spain,222857
N. Mariana Is.,15
Eritrea,39
Armenia,3029
Bahrain,4444
Chad,260
Guinea,2009
Saudi Arabia,35432
Guatemala,900
São Tomé and Principe,208
Gabon,620
Cameroon,2265
Slovenia,1450
Sint Maarten (Dutch part),76
Angola,43
Austria,15735
Grenada,21
Rwanda,273
Madagascar,193
Côte d'Ivoire,1602
Burkina Faso,744
Kyrgyzstan,931
Fr. Polynesia,60
Cyprus,891
Australia,6914
Bahamas,92
Niger,795
Nepal,101
Guernsey,252
Kazakhstan,4834
Denmark,10218
Isle of Man,329
Georgia,623
Dominican Rep.,9376
British Virgin Islands,7
Mali,668
Aland,0
American Samoa,0
Br. Indian Ocean Ter.,0
Dem. Rep. Korea,0
Fr. S. Antarctic Lands,0
Heard I. and McDonald Is.,0
Kiribati,0
Lesotho,0
Micronesia,0
N. Cyprus,0
Niue,0
Palau,0
S. Geo. and S. Sandw. Is.,0
Saint Helena,0
Samoa,0
Siachen Glacier,0
Solomon Is.,0
St. Pierre and Miquelon,0
Timor-Leste,0
Tonga,0
Turkmenistan,0
Vanuatu,0
