name,value
开始日期,"2020-04-28"
结束日期,"2020-05-04"
当前全球确诊数量,3559378.0
当前全球死亡数量,247981.0
当前全球确诊率,0.000457
当前全球病死率,0.06966975690696521
当前全球确诊最多国家,美国
当前全球确诊最多国家确诊数,1185167.0
当前全球确诊第二多国家,西班牙
当前全球确诊第二多国家确诊数,247122.0
当前全球死亡最多国家,美国
当前全球死亡最多国家死亡数,68495.0
当前全球死亡第二多国家,意大利
当前全球死亡第二多国家死亡数,28884.0
上周全球确诊病例,570433.0
上周全球确诊较前一周,-0.026506702618757094
上周全球死亡病例,41253.0
上周全球死亡较前一周,0.004040207364859993
上周确诊最多国家,美国
上周确诊最多国家确诊数,200107.0
上周确诊第二多国家,俄罗斯
上周确诊第二多国家确诊数,53738.0
上周死亡最多国家,美国
上周死亡最多国家死亡数,13138.0
上周死亡第二多国家,英国
上周死亡第二多国家死亡数,7714.0
上周确诊增速最快国家,阿富汗
上周确诊增速最快国家增速值,1.1925233644859814
上周确诊增速第二快国家,智利
上周确诊增速第二快国家增速值,0.9525131051495528
上周死亡增速最快国家,厄瓜多尔
上周死亡增速最快国家增速值,8.686274509803921
上周死亡增速第二快国家,新加坡
上周死亡增速第二快国家增速值,5.0
当前全球确诊第三多国家,意大利
当前全球确诊第三多国家确诊数,210717.0
