国家,累计确诊人数
Montserrat,11
Somalia,928
Turks and Caicos Is.,12
Kenya,621
Czech Rep.,8077
United States,1283929
International,696
Finland,5738
Puerto Rico,2156
Uruguay,694
Haiti,146
Egypt,8476
Congo,287
Guam,151
Honduras,1771
New Caledonia,18
Germany,168551
Macedonia,1586
Libya,64
St. Vin. and Gren.,17
Kuwait,7208
Lao PDR,19
Albania,850
Maldives,644
Poland,15366
Canada,66434
Cayman Is.,81
Monaco,95
Lithuania,1436
Jamaica,490
Antigua and Barb.,25
Mongolia,42
Mauritius,332
France,138421
Gambia,20
Iran,104691
Curaçao,16
Papua New Guinea,8
Yemen,34
Sudan,1111
Comoros,8
Cambodia,122
Tajikistan,522
British Virgin Islands,7
Côte d'Ivoire,1602
S. Sudan,120
Kazakhstan,4834
Zambia,167
Denmark,10218
Guinea-Bissau,594
Saint Kitts and Nevis,15
Korea,10840
Lebanon,796
Nigeria,3912
N. Mariana Is.,15
Spain,222857
Chad,260
Tunisia,1030
United Arab Emirates,16793
Serbia,9943
Uganda,101
Colombia,10051
Algeria,5369
Cameroon,2265
Singapore,21707
Sint Maarten (Dutch part),76
Montenegro,324
Italy,217185
Andorra,752
Guinea,2009
Guatemala,900
Bonaire Sint Eustatius and Saba,6
Latvia,928
Qatar,20201
Bolivia,2266
Saint Lucia,18
Bulgaria,1911
W. Sahara,6
Switzerland,30124
Greenland,11
Croatia,2161
China,83976
Liberia,199
Moldova,4728
Cape Verde,230
Afghanistan,3778
Aruba,101
Bermuda,118
Ethiopia,194
Myanmar,177
Netherlands,42093
Malaysia,6535
New Zealand,1142
Peru,61847
Senegal,1551
San Marino,623
South Africa,8895
Jersey,293
Eq. Guinea,439
Togo,145
Barbados,83
Oman,3112
Japan,15628
Gibraltar,146
Zimbabwe,35
Bosnia and Herz.,2070
Malta,489
Palestine,547
Bangladesh,13134
Fiji,18
Costa Rica,773
Paraguay,563
Kosovo,862
Chile,25972
Norway,8034
Portugal,27268
Sierra Leone,257
Suriname,10
Slovakia,1455
Sweden,25265
Syria,47
Dem. Rep. Congo,937
Jordan,508
Ukraine,14195
Israel,16436
Iraq,2603
Bahamas,92
Dominica,16
Central African Rep.,143
United Kingdom,211364
Azerbaijan,2279
Luxembourg,3871
Vatican,12
Seychelles,11
Niger,795
Swaziland,159
Trinidad and Tobago,116
Kyrgyzstan,931
Cyprus,891
Isle of Man,329
Gabon,620
India,59662
Malawi,43
Dominican Rep.,9376
Bhutan,7
Falkland Is.,13
Faeroe Is.,187
Burkina Faso,744
Ghana,4012
Mali,668
Georgia,623
Australia,6914
Djibouti,1135
Benin,242
Mozambique,82
Cuba,1741
Nepal,101
Fr. Polynesia,60
Guyana,94
Thailand,3000
Greece,2691
Bahrain,4444
Morocco,5711
Belgium,52011
Guernsey,252
Ireland,22541
Mauritania,8
Saudi Arabia,35432
Turkey,135569
Taiwan,440
Vietnam,288
Grenada,21
Angola,43
Armenia,3029
Austria,15735
Iceland,1801
Madagascar,193
Romania,14811
Rwanda,273
Belarus,21101
Brazil,145328
Hong Kong,0
Nicaragua,16
São Tomé and Principe,208
Timor-Leste,24
Venezuela,388
Burundi,19
Namibia,16
Ecuador,28818
Philippines,10463
Brunei,141
Panama,8070
Tanzania,509
Indonesia,13112
Argentina,5598
Slovenia,1450
Uzbekistan,2336
Belize,18
Liechtenstein,83
Botswana,23
Sri Lanka,835
U.S. Virgin Is.,68
Mexico,31522
Anguilla,3
Eritrea,39
Hungary,3213
Estonia,1725
Pakistan,27474
Russia,187859
El Salvador,784
World,3898658
Aland,0
American Samoa,0
Br. Indian Ocean Ter.,0
Dem. Rep. Korea,0
Fr. S. Antarctic Lands,0
Heard I. and McDonald Is.,0
Kiribati,0
Lesotho,0
Micronesia,0
N. Cyprus,0
Niue,0
Palau,0
S. Geo. and S. Sandw. Is.,0
Saint Helena,0
Samoa,0
Siachen Glacier,0
Solomon Is.,0
St. Pierre and Miquelon,0
Timor-Leste,0
Tonga,0
Turkmenistan,0
Vanuatu,0
