国家,阳性率
各国平均,0.09297602659101638
阿尔及利亚,0.826
巴西,0.41551220431627556
厄瓜多尔,0.3640798865630032
玻利维亚,0.27199058946542937
墨西哥,0.2670128746078113
阿富汗,0.26256167906039335
多米尼加,0.2432607736813429
摩尔多瓦,0.2312319655695212
巴拿马,0.20126365333947255
伊朗,0.18731649188851654
瑞典,0.17013468013468014
荷兰,0.16860467445074204
卡塔尔,0.16770160553886002
美国,0.15378889405979512
尼日利亚,0.14793371092930566
西班牙,0.13460442804618994
秘鲁,0.1307022549081764
英国,0.12954710243748166
法国,0.12716654882557327
新加坡,0.12361335732671237
孟加拉,0.11789840306639976
爱尔兰,0.10495853530203342
土耳其,0.10437971490738417
亚美尼亚,0.10371511727443931
巴基斯坦,0.10276115950817696
智利,0.10146858310445732
比利时,0.10094656204086307
瑞士,0.10013093560951355
摩洛哥,0.09538841843296421
埃及,0.09417777777777778
印度尼西亚,0.09119424680590621
乌克兰,0.08918978354434356
意大利,0.08882593209254731
白俄罗斯,0.08786738067675498
沙特阿拉伯,0.08461938947559479
塞尔维亚,0.07719420829936727
日本,0.07709899857929935
卢森堡,0.07268528080815667
哥伦比亚,0.06986228500502394
菲律宾,0.06925469949695526
阿根廷,0.06894648335708142
加拿大,0.0642638999775213
罗马尼亚,0.06241992582602832
阿曼,0.06224
德国,0.061902118101292924
葡萄牙,0.05434925595653335
波黑,0.05420692905962762
奥地利,0.05187638332089098
克罗地亚,0.0498178800313523
芬兰,0.049253218884120174
印度,0.041517247327144194
挪威,0.041113510037208874
俄罗斯,0.03772269076305221
以色列,0.03710786250493876
科威特,0.03670117160649093
波兰,0.034646656415020315
丹麦,0.03423253196108386
匈牙利,0.032082214460215225
南非,0.02890314279029868
希腊,0.02832899958943479
捷克,0.027432719257666875
加纳,0.026755942059914103
马来西亚,0.02666236913611476
巴林,0.025813496904006784
伊拉克,0.02117275766424545
韩国,0.016525593902846854
阿联酋,0.013994166666666667
泰国,0.013165979109979813
哈萨克斯坦,0.013025225934049353
阿塞拜疆,0.012554398721974329
澳大利亚,0.009130406074612083
乌兹别克斯坦,0.007153846153846154
