国家,本周较上周新增确诊人数增速
全球平均,0.06390469776644103
加纳,1.4377358490566037
玻利维亚,0.9698275862068966
巴林,0.9539877300613497
智利,0.9064227988090174
厄瓜多尔,0.7757810340060824
印度,0.7514441842310695
南非,0.7007510109763142
尼日利亚,0.676130389064143
阿塞拜疆,0.6221374045801527
科威特,0.6057855927396483
俄罗斯,0.6029164574646904
澳大利亚,0.5978260869565217
亚美尼亚,0.5960144927536233
阿富汗,0.4664634146341464
埃及,0.43150305047143656
摩洛哥,0.40813810110974114
孟加拉,0.37954353338968727
墨西哥,0.3689895929390068
多米尼加,0.35672514619883033
巴基斯坦,0.35614434330299094
巴西,0.2825568741255118
沙特阿拉伯,0.2601445247359644
马来西亚,0.2210526315789474
伊朗,0.21376811594202905
阿尔及利亚,0.18305744888023368
法国,0.161612130885874
哥伦比亚,0.15294117647058814
秘鲁,0.13699431183881772
卡塔尔,0.09585352719439966
印度尼西亚,0.09444444444444455
喀麦隆,0.08208955223880587
菲律宾,0.07025316455696196
哈萨克斯坦,0.047417442845046676
芬兰,0.04725609756097571
罗马尼亚,0.043720930232558075
葡萄牙,0.04155251141552507
乌克兰,0.03733665214685744
加拿大,0.022917036773849597
波兰,0.021690013556258547
阿曼,0.0121765601217656
伊拉克,0.011235955056179803
白俄罗斯,0.006510416666666741
克罗地亚,0.0
阿联酋,-0.0005323396326856189
英国,-0.0023536334215945587
巴拿马,-0.02196193265007318
阿根廷,-0.05035246727089626
瑞典,-0.05261826460915764
美国,-0.07530735988744097
乌兹别克斯坦,-0.07749077490774903
新加坡,-0.08356545961002781
挪威,-0.12576687116564422
日本,-0.13546511627906976
摩尔多瓦,-0.14022988505747125
丹麦,-0.17620345140781113
波黑,-0.1972222222222222
土耳其,-0.24616704805491996
西班牙,-0.26244402342404405
韩国,-0.2727272727272727
荷兰,-0.292997542997543
几内亚,-0.30074074074074075
捷克,-0.3081632653061225
德国,-0.31693243810323124
意大利,-0.3240266038520161
匈牙利,-0.34375
希腊,-0.35245901639344257
卢森堡,-0.3551401869158879
爱尔兰,-0.3552283880709701
比利时,-0.37138636843215866
奥地利,-0.47173913043478266
瑞士,-0.5116731517509727
塞尔维亚,-0.5714285714285714
泰国,-0.6226415094339622
中国,-0.6266666666666667
以色列,-0.6788111217641419
