国家,本周较上周新增死亡人数增速
全球平均,-0.14684377571411777
印度,0.7200902934537246
日本,0.5686274509803921
沙特阿拉伯,0.4285714285714286
墨西哥,0.3949367088607596
阿联酋,0.34042553191489366
印度尼西亚,0.28828828828828823
巴西,0.24407672057164342
厄瓜多尔,0.21355236139630396
秘鲁,0.20408163265306123
菲律宾,0.1470588235294117
乌克兰,0.12658227848101267
巴基斯坦,0.10975609756097571
丹麦,0.08771929824561409
加拿大,0.07959743824336685
瑞典,0.041916167664670656
罗马尼亚,0.011299435028248483
俄罗斯,0.0
韩国,0.0
智利,0.0
新加坡,0.0
美国,-0.06116828525873319
白俄罗斯,-0.06666666666666665
孟加拉,-0.07692307692307687
伊朗,-0.12959381044487428
意大利,-0.13321570357300394
比利时,-0.201171875
波兰,-0.20382165605095537
荷兰,-0.22847682119205293
德国,-0.2359328726554788
葡萄牙,-0.30065359477124187
法国,-0.30353341847594717
土耳其,-0.3449848024316109
爱尔兰,-0.3466135458167331
以色列,-0.3548387096774194
西班牙,-0.3586956521739131
英国,-0.5338580709645178
奥地利,-0.576271186440678
瑞士,-0.5818181818181818
中国,-1.0
卡塔尔,-1.0
