国家,累计检测数
美国,16274635.0
俄罗斯,9701280.0
德国,3952971.0
英国,3918079.0
意大利,3683144.0
西班牙,3556567.0
印度,3362136.0
阿联酋,2110493.0
土耳其,1928209.0
加拿大,1559280.0
法国,1384633.0
澳大利亚,1367444.0
秘鲁,905278.0
伊朗,876492.0
巴西,871839.0
韩国,868666.0
波兰,846732.0
比利时,818807.0
葡萄牙,778698.0
沙特阿拉伯,770696.0
哈萨克斯坦,735273.0
南非,634996.0
丹麦,583052.0
以色列,558516.0
智利,530173.0
马来西亚,519944.0
巴基斯坦,508086.0
白俄罗斯,499249.0
乌兹别克斯坦,460000.0
奥地利,427372.0
捷克,424423.0
罗马尼亚,410000.0
瑞士,385822.0
泰国,375453.0
荷兰,342681.0
新加坡,334691.0
爱尔兰,325795.0
菲律宾,323819.0
乌克兰,322746.0
巴林,297873.0
印度尼西亚,289906.0
阿塞拜疆,284669.0
哥伦比亚,283346.0
科威特,282341.0
日本,278642.0
孟加拉,275776.0
墨西哥,244858.0
挪威,239864.0
瑞典,238800.0
塞尔维亚,234019.0
伊拉克,211485.0
卡塔尔,207033.0
加纳,205890.0
摩洛哥,180189.0
芬兰,176650.0
匈牙利,174011.0
希腊,170467.0
阿根廷,145081.0
埃及,135000.0
厄瓜多尔,110812.0
萨尔瓦多,82243.0
保加利亚,77664.0
多米尼加,74612.0
阿曼,72000.0
卢森堡,71098.0
克罗地亚,65094.0
波黑,62567.0
巴拿马,61895.0
亚美尼亚,54931.0
尼日利亚,44458.0
摩尔多瓦,40565.0
塞内加尔,38508.0
阿富汗,34903.0
危地马拉,31427.0
北马其顿,27023.0
科特迪瓦,26021.0
吉布提,25257.0
玻利维亚,22294.0
洪都拉斯,14790.0
几内亚,14407.0
加蓬,12060.0
苏丹,401.0
阿尔及利亚,0.0
