日期,新增确诊（左）,新增治愈（右）
2020-02-20,1487,0
2020-02-21,506,0
2020-02-22,656,0
2020-02-23,783,0
2020-02-24,817,0
2020-02-25,801,0
2020-02-26,899,0
2020-02-27,1075,0
2020-02-28,1457,0
2020-02-29,1897,0
2020-03-01,1366,0
2020-03-02,1733,0
2020-03-03,1912,0
2020-03-04,2245,0
2020-03-05,2245,0
2020-03-06,2816,0
2020-03-07,3796,55932
2020-03-08,4016,2587
2020-03-09,4051,2270
2020-03-10,4344,1987
2020-03-11,4445,2338
2020-03-12,7144,1943
2020-03-13,8486,1875
2020-03-14,10804,1999
2020-03-15,11101,3535
2020-03-16,13146,2152
2020-03-17,12328,1722
2020-03-18,16353,3394
2020-03-19,20542,2652
2020-03-20,26193,3022
2020-03-21,37863,6102
2020-03-22,24124,1288
2020-03-23,28512,2838
2020-03-24,42982,3948
2020-03-25,42313,6739
2020-03-26,46560,5485
2020-03-27,58674,9529
2020-03-28,64587,9153
2020-03-29,68014,8930
2020-03-30,60225,9498
2020-03-31,61609,13713
2020-04-01,73533,12275
2020-04-02,76780,16844
2020-04-03,78908,18157
2020-04-04,84597,16202
2020-04-05,102620,18001
2020-04-06,71585,15024
2020-04-07,71926,17022
2020-04-08,83187,23467
2020-04-09,82778,17669
2020-04-10,88913,36100
2020-04-11,95164,19929
2020-04-12,82804,26177
2020-04-13,73794,20990
2020-04-14,69579,20704
2020-04-15,69601,23882
2020-04-16,81293,41993
2020-04-17,91940,37676
2020-04-18,75862,23194
2020-04-19,88389,25444
2020-04-20,79221,20322
2020-04-21,71412,29316
2020-04-22,77146,43337
2020-04-23,78413,28375
2020-04-24,80343,26836
2020-04-25,107882,36199
2020-04-26,89875,52936
2020-04-27,61899,43786
2020-04-28,65744,42878
2020-04-29,70902,31512
2020-04-30,76586,45949
2020-05-01,90840,41086
2020-05-02,89548,39921
2020-05-03,79520,37034
2020-05-04,86729,38046
2020-05-05,75825,34506
2020-05-06,78159,48308
2020-05-07,93549,51908
2020-05-08,91716,46950
2020-05-09,94808,41398
2020-05-10,82532,51075
2020-05-11,87394,41730
2020-05-12,69117,52608
2020-05-13,85507,54157
2020-05-14,86389,72843
2020-05-15,93042,49198
2020-05-16,97756,45224
2020-05-17,95768,60282
2020-05-18,86373,44692
2020-05-19,76337,45864
2020-05-20,100643,57016
2020-05-21,97368,51016
2020-05-22,104020,66736
2020-05-23,109386,70735
