国家,病死率
各国平均,0.06191841021217302
比利时,0.16228456844543554
法国,0.15389984858084815
意大利,0.1430186594859579
英国,0.14059161659736852
匈牙利,0.13338574423480085
荷兰,0.12846572361262243
瑞典,0.1194054916449744
西班牙,0.1139903995695779
墨西哥,0.11018545813413994
厄瓜多尔,0.0861168152634452
加拿大,0.07768296128849958
阿尔及利亚,0.07002334111370456
爱尔兰,0.06597963044965983
罗马尼亚,0.06572295247724974
瑞士,0.06231328743992726
波黑,0.062144597887896016
巴西,0.06187103543663853
印度尼西亚,0.06096666394979216
希腊,0.060220233998623536
菲律宾,0.05908391070053887
美国,0.05846729788965129
北马其顿,0.058257101588830046
中国,0.0549392061314283
保加利亚,0.05409769882922891
伊朗,0.05302087605753255
日本,0.0515284367305267
丹麦,0.04933981931897151
德国,0.04697125819393594
芬兰,0.04641850808245588
波兰,0.04547645125958379
克罗地亚,0.04543429844097996
苏丹,0.044868844914864245
葡萄牙,0.04332826940119002
洪都拉斯,0.04181034482758621
埃及,0.04063867647766075
奥地利,0.04017320182824152
摩尔多瓦,0.03650485436893204
玻利维亚,0.03604531410916581
阿根廷,0.03595779803344577
捷克,0.03481497700897745
哥伦比亚,0.03331397278460007
伊拉克,0.032801905809052595
喀麦隆,0.03219278881530537
多米尼加,0.03018421707742096
乌克兰,0.02989009025109463
秘鲁,0.029307236672675766
尼日利亚,0.029085079583190197
印度,0.028484877801023063
挪威,0.02807518439210088
土耳其,0.02771168910230527
卢森堡,0.027445109780439122
巴拿马,0.026858799454297408
摩洛哥,0.02642941253434515
刚果,0.02593984962406015
韩国,0.023712976022566997
塞尔维亚,0.021327433628318584
南非,0.0212823379727802
巴基斯坦,0.020579156254593563
泰国,0.018597063621533443
阿富汗,0.018027002147898128
萨尔瓦多,0.017775752051048314
以色列,0.01683262209577999
危地马拉,0.016405307599517492
马来西亚,0.01507405950976537
澳大利亚,0.014405594405594406
孟加拉,0.013863743458743583
亚美尼亚,0.01375365141187926
塔吉克斯坦,0.013191131069323604
科特迪瓦,0.0121166224914805
阿塞拜疆,0.011767177978566926
塞内加尔,0.011648745519713262
俄罗斯,0.010927289467644196
智利,0.010236591790023349
阿联酋,0.007930652895610476
科威特,0.007672528201725282
吉布提,0.0068634179821551134
几内亚,0.006191950464396285
加蓬,0.00603708495040966
沙特阿拉伯,0.005499781754692274
白俄罗斯,0.005494505494505495
加纳,0.0046556209776804055
阿曼,0.00444000444000444
乌兹别克斯坦,0.0040650406504065045
哈萨克斯坦,0.0038638262322472847
巴林,0.0014922403501790688
新加坡,0.0006917501278233932
卡塔尔,0.0006481517853635543
