国家,治愈率
各国平均,0.44152797144779976
泰国,0.9608482871125612
卢森堡,0.9488522954091816
中国,0.9437006197662866
澳大利亚,0.9202797202797203
奥地利,0.9192927592013471
挪威,0.9192243635498454
瑞士,0.9189505130536433
克罗地亚,0.9135857461024499
韩国,0.9114950634696756
德国,0.8944818363185933
爱尔兰,0.8892154100076487
丹麦,0.8842946490618485
以色列,0.8700213371266002
日本,0.8391688186895682
西班牙,0.8278816002959152
芬兰,0.8156606851549756
马来西亚,0.8086249836151527
伊朗,0.7854625336290137
乌兹别克斯坦,0.7822299651567944
土耳其,0.7725790320476584
波黑,0.723395613322502
北马其顿,0.7154549831487723
捷克,0.7069192029778848
墨西哥,0.697012419414788
沙特阿拉伯,0.6803392155640082
摩洛哥,0.6797069213659558
罗马尼亚,0.6720770581661434
意大利,0.6499059258108505
阿塞拜疆,0.6350073544862366
巴拿马,0.6291780354706685
葡萄牙,0.589853145967844
阿尔及利亚,0.5865288429476492
塞尔维亚,0.5697345132743363
多米尼加,0.5571321882001493
新加坡,0.5502120364522242
几内亚,0.5488319729805798
伊拉克,0.5444383360820964
巴林,0.5390966971746916
摩尔多瓦,0.5337216828478965
加拿大,0.5287030234529528
匈牙利,0.5230607966457023
南非,0.5186027682461348
阿联酋,0.5128796262141891
哈萨克斯坦,0.5116959064327485
塞内加尔,0.503584229390681
科特迪瓦,0.5020825444907232
厄瓜多尔,0.47893218268306
希腊,0.4728148657949071
塔吉克斯坦,0.469828795958462
波兰,0.46265060240963857
巴西,0.4585825344589116
萨尔瓦多,0.4567000911577028
印度,0.428815014571971
吉布提,0.42587508579272476
白俄罗斯,0.4179838426413769
智利,0.41578965529139783
秘鲁,0.4132960523895368
亚美尼亚,0.4000730282375852
俄罗斯,0.3983448137585707
保加利亚,0.3895841744045216
乌克兰,0.37704405325708157
喀麦隆,0.3671817512877116
法国,0.3607802918845778
科威特,0.36073324485733244
阿根廷,0.33137156391301226
巴基斯坦,0.33042611919577963
加纳,0.3302752293577982
卡塔尔,0.3024511922064658
尼日利亚,0.2863849765258216
美国,0.28193733329332277
加蓬,0.27210004312203534
比利时,0.26918356410655325
埃及,0.25773096715240706
印度尼西亚,0.254299453908224
哥伦比亚,0.25352638566213076
阿曼,0.24164724164724163
菲律宾,0.23081857839363612
孟加拉,0.20894819076907814
苏丹,0.1723423838011965
刚果,0.1432330827067669
瑞典,0.13913846670585273
危地马拉,0.1189384800965018
洪都拉斯,0.10905172413793103
阿富汗,0.09274317275237803
玻利维亚,0.088697219361483
