日期,全球累计确诊人数
"2020-02-01",14543.0
"2020-02-02",17384.0
"2020-02-03",20624.0
"2020-02-04",24522.0
"2020-02-05",28251.0
"2020-02-06",31427.0
"2020-02-07",34868.0
"2020-02-08",37539.0
"2020-02-09",40542.0
"2020-02-10",43027.0
"2020-02-11",45125.0
"2020-02-12",60323.0
"2020-02-13",64379.0
"2020-02-14",67081.0
"2020-02-15",69110.0
"2020-02-16",71318.0
"2020-02-17",73322.0
"2020-02-18",75083.0
"2020-02-19",75599.0
"2020-02-20",77086.0
"2020-02-21",77592.0
"2020-02-22",78248.0
"2020-02-23",79031.0
"2020-02-24",79848.0
"2020-02-25",80649.0
"2020-02-26",81548.0
"2020-02-27",82623.0
"2020-02-28",84080.0
"2020-02-29",85977.0
"2020-03-01",87343.0
"2020-03-02",89076.0
"2020-03-03",90988.0
"2020-03-04",93233.0
"2020-03-05",95478.0
"2020-03-06",98294.0
"2020-03-07",102090.0
"2020-03-08",106106.0
"2020-03-09",110157.0
"2020-03-10",114501.0
"2020-03-11",118946.0
"2020-03-12",126090.0
"2020-03-13",134576.0
"2020-03-14",145380.0
"2020-03-15",156481.0
"2020-03-16",169627.0
"2020-03-17",181955.0
"2020-03-18",198308.0
"2020-03-19",218850.0
"2020-03-20",245043.0
"2020-03-21",282906.0
"2020-03-22",307030.0
"2020-03-23",335542.0
"2020-03-24",378524.0
"2020-03-25",420837.0
"2020-03-26",467397.0
"2020-03-27",526071.0
"2020-03-28",590658.0
"2020-03-29",658672.0
"2020-03-30",718897.0
"2020-03-31",780506.0
"2020-04-01",854039.0
"2020-04-02",930819.0
"2020-04-03",1009727.0
"2020-04-04",1094324.0
"2020-04-05",1196944.0
"2020-04-06",1268529.0
"2020-04-07",1340455.0
"2020-04-08",1423642.0
"2020-04-09",1506420.0
"2020-04-10",1595333.0
"2020-04-11",1690497.0
"2020-04-12",1773301.0
"2020-04-13",1847095.0
"2020-04-14",1916674.0
"2020-04-15",1986275.0
"2020-04-16",2067568.0
"2020-04-17",2159508.0
"2020-04-18",2235370.0
"2020-04-19",2323759.0
"2020-04-20",2402980.0
"2020-04-21",2474392.0
"2020-04-22",2551538.0
"2020-04-23",2629951.0
"2020-04-24",2710294.0
"2020-04-25",2818176.0
"2020-04-26",2908051.0
"2020-04-27",2969950.0
"2020-04-28",3035694.0
"2020-04-29",3106596.0
"2020-04-30",3183182.0
"2020-05-01",3274022.0
"2020-05-02",3363570.0
"2020-05-03",3443090.0
"2020-05-04",3529819.0
"2020-05-05",3605644.0
"2020-05-06",3683803.0
"2020-05-07",3777352.0
"2020-05-08",3869068.0
"2020-05-09",3963876.0
"2020-05-10",4046408.0
"2020-05-11",4133802.0
"2020-05-12",4202919.0
"2020-05-13",4288426.0
"2020-05-14",4374815.0
"2020-05-15",4467857.0
"2020-05-16",4565613.0
"2020-05-17",4661381.0
"2020-05-18",4747754.0
"2020-05-19",4824091.0
"2020-05-20",4924734.0
"2020-05-21",5022102.0
"2020-05-22",5126122.0
"2020-05-23",5235508.0
"2020-05-24",5341262.0
"2020-05-25",5438821.0
"2020-05-26",5522610.0
"2020-05-27",5605454.0
"2020-05-28",5716204.0
"2020-05-29",5821758.0
