国家,本周较上周新增死亡人数增速
全球平均,-0.14684377571411777
阿曼,4.0
几内亚,3.0
喀麦隆,1.6111111111111112
玻利维亚,1.1052631578947367
波黑,0.8666666666666667
尼日利亚,0.8148148148148149
印度,0.7200902934537246
南非,0.6756756756756757
亚美尼亚,0.6666666666666667
阿富汗,0.6399999999999999
日本,0.5686274509803921
多米尼加,0.4565217391304348
沙特阿拉伯,0.4285714285714286
墨西哥,0.3949367088607596
阿联酋,0.34042553191489366
印度尼西亚,0.28828828828828823
伊拉克,0.25
巴西,0.24407672057164342
阿根廷,0.2264150943396226
厄瓜多尔,0.21355236139630396
秘鲁,0.20408163265306123
捷克,0.1923076923076923
摩洛哥,0.15384615384615374
菲律宾,0.1470588235294117
卢森堡,0.1428571428571428
科威特,0.1333333333333333
乌克兰,0.12658227848101267
巴基斯坦,0.10975609756097571
丹麦,0.08771929824561409
加拿大,0.07959743824336685
哥伦比亚,0.04494382022471921
瑞典,0.041916167664670656
芬兰,0.024390243902439046
罗马尼亚,0.011299435028248483
俄罗斯,0.0
韩国,0.0
智利,0.0
新加坡,0.0
希腊,0.0
哈萨克斯坦,0.0
巴林,0.0
乌兹别克斯坦,0.0
冰岛,0.0
匈牙利,-0.0547945205479452
美国,-0.06116828525873319
白俄罗斯,-0.06666666666666665
孟加拉,-0.07692307692307687
阿尔及利亚,-0.07894736842105265
巴拿马,-0.11904761904761907
伊朗,-0.12959381044487428
意大利,-0.13321570357300394
埃及,-0.1339285714285714
比利时,-0.201171875
波兰,-0.20382165605095537
荷兰,-0.22847682119205293
德国,-0.2359328726554788
阿塞拜疆,-0.25
摩尔多瓦,-0.26315789473684215
挪威,-0.2727272727272727
葡萄牙,-0.30065359477124187
法国,-0.30353341847594717
土耳其,-0.3449848024316109
爱尔兰,-0.3466135458167331
以色列,-0.3548387096774194
西班牙,-0.3586956521739131
塞尔维亚,-0.41463414634146345
马来西亚,-0.4285714285714286
英国,-0.5338580709645178
克罗地亚,-0.5416666666666667
奥地利,-0.576271186440678
瑞士,-0.5818181818181818
澳大利亚,-0.7142857142857143
泰国,-0.75
加纳,-0.8571428571428572
中国,-1.0
卡塔尔,-1.0
