国家,确诊率
全球平均,0.000513
卡塔尔,0.007012
卢森堡,0.006184
西班牙,0.005563
冰岛,0.005278
爱尔兰,0.004565
比利时,0.004488
美国,0.003983
新加坡,0.00371
意大利,0.003592
瑞士,0.00349
英国,0.003114
法国,0.002698
葡萄牙,0.002674
巴林,0.002612
瑞典,0.002502
荷兰,0.002457
白俄罗斯,0.002233
德国,0.002036
以色列,0.001899
秘鲁,0.001876
巴拿马,0.001824
丹麦,0.001764
加拿大,0.001757
奥地利,0.001751
厄瓜多尔,0.001717
阿联酋,0.001698
科威特,0.001688
土耳其,0.001607
挪威,0.001486
智利,0.001359
俄罗斯,0.001287
伊朗,0.001246
摩尔多瓦,0.001172
塞尔维亚,0.001138
芬兰,0.001036
亚美尼亚,0.001022
沙特阿拉伯,0.001018
多米尼加,0.000864
罗马尼亚,0.00077
捷克,0.000753
巴西,0.000664
波黑,0.000631
阿曼,0.000609
克罗地亚,0.000526
波兰,0.000406
匈牙利,0.000329
乌克兰,0.000325
澳大利亚,0.000271
希腊,0.000258
哈萨克斯坦,0.000257
墨西哥,0.00023
阿塞拜疆,0.000225
韩国,0.000211
马来西亚,0.000202
哥伦比亚,0.000186
玻利维亚,0.000178
摩洛哥,0.000155
几内亚,0.000153
南非,0.00015
加纳,0.000129
日本,0.000123
阿尔及利亚,0.000122
巴基斯坦,0.00012
阿根廷,0.000119
阿富汗,9.7e-05
菲律宾,9.5e-05
喀麦隆,8.5e-05
埃及,8.3e-05
孟加拉,8e-05
乌兹别克斯坦,6.9e-05
伊拉克,6.5e-05
中国,5.8e-05
印度尼西亚,4.8e-05
印度,4.3e-05
泰国,4.3e-05
尼日利亚,1.7e-05
