日期,新增确诊（左）,新增治愈（右）
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,44,1
2020-03-08,36,1
2020-03-09,10,0
2020-03-10,13,0
2020-03-11,4,0
2020-03-12,12,26
2020-03-13,44,10
2020-03-14,17,2
2020-03-15,85,0
2020-03-16,89,1
2020-03-17,57,5
2020-03-18,107,-5
2020-03-19,129,25
2020-03-20,157,15
2020-03-21,284,11
2020-03-22,109,35
2020-03-23,240,15
2020-03-24,380,20
2020-03-25,433,-23
2020-03-26,518,72
2020-03-27,545,-27
2020-03-28,567,45
2020-03-29,310,24
2020-03-30,584,28
2020-03-31,414,44
2020-04-01,579,83
2020-04-02,613,97
2020-04-03,641,68
2020-04-04,892,129
2020-04-05,672,107
2020-04-06,709,97
2020-04-07,688,86
2020-04-08,650,160
2020-04-09,800,253
2020-04-10,740,243
2020-04-11,706,480
2020-04-12,746,230
2020-04-13,867,464
2020-04-14,783,113
2020-04-15,918,274
2020-04-16,939,218
2020-04-17,1229,852
2020-04-18,1407,325
2020-04-19,1255,371
2020-04-20,963,507
2020-04-21,1120,516
2020-04-22,1401,386
2020-04-23,1276,495
2020-04-24,1422,1203
2020-04-25,1492,449
2020-04-26,1466,515
2020-04-27,1580,506
2020-04-28,1220,447
2020-04-29,1496,1234
2020-04-30,1882,701
2020-05-01,2178,554
2020-05-02,1695,810
2020-05-03,2245,783
2020-05-04,1652,485
2020-05-05,2411,991
2020-05-06,2131,614
2020-05-07,2309,1284
2020-05-08,2626,831
2020-05-09,3617,699
2020-05-10,3051,1708
2020-05-11,2555,1023
2020-05-12,2787,1151
2020-05-13,3444,1021
2020-05-14,2844,1205
2020-05-15,2986,1877
2020-05-16,2532,1252
2020-05-17,3732,2364
2020-05-18,3100,1786
2020-05-19,3248,1390
2020-05-20,3133,1859
2020-05-21,3628,2190
2020-05-22,5116,1356
2020-05-23,4177,2265
