name,value
开始日期,"2020-05-23"
结束日期,"2020-05-29"
当前全球确诊数量,5821758.0
当前全球死亡数量,360474.0
当前全球确诊率,0.000753
当前全球病死率,0.06191841021217302
当前全球确诊最多国家,美国
当前全球确诊最多国家确诊数,1766201
当前全球确诊第二多国家,巴西
当前全球确诊第二多国家确诊数,419340
当前全球死亡最多国家,美国
当前全球死亡最多国家死亡数,103265
当前全球死亡第二多国家,英国
当前全球死亡第二多国家死亡数,37837
上周全球确诊病例,695636.0
上周全球确诊较前一周,0.056771968735995326
上周全球死亡病例,28438.0
上周全球死亡较前一周,-0.05266664445850966
上周确诊最多国家,美国
上周确诊最多国家确诊数,148546.0
上周确诊第二多国家,巴西
上周确诊第二多国家确诊数,121134.0
上周死亡最多国家,美国
上周死亡最多国家死亡数,7086
上周死亡第二多国家,巴西
上周死亡第二多国家死亡数,6674.0
上周确诊增速最快国家,阿根廷
上周确诊增速最快国家增速值,0.9342762063227954
上周确诊增速第二快国家,巴拿马
上周确诊增速第二快国家增速值,0.6950629235237173
上周死亡增速最快国家,南非
上周死亡增速最快国家增速值,0.3969465648854962
上周死亡增速第二快国家,智利
上周死亡增速第二快国家增速值,0.3619909502262444
当前全球确诊第三多国家,俄罗斯
当前全球确诊第三多国家确诊数,379051
所有疫情数据截止小时,9
所有疫情数据截止分钟,0
