国家,本周较上周新增确诊人数增速
各国平均,0.056771968735995326
阿根廷,0.9342762063227954
巴拿马,0.6950629235237173
法国,0.49255751014884974
阿富汗,0.4356272637471188
智利,0.4294338152962367
西班牙,0.3923362882470689
埃及,0.3871586008624821
菲律宾,0.38254172015404375
墨西哥,0.3060092637737688
印度,0.3017196168815037
孟加拉,0.22408789386401318
巴西,0.206898613103778
卡塔尔,0.1815203776857115
哥伦比亚,0.06925925925925935
巴基斯坦,0.06770706331789
南非,0.06283213504220075
波兰,0.06091772151898733
葡萄牙,0.05712492153170112
印度尼西亚,0.052935514918190485
多米尼加,0.03166452717158741
英国,0.02601790843047813
荷兰,0.025430680885972112
瑞典,-0.00974930362116988
白俄罗斯,-0.01697226852553413
伊朗,-0.02025931928687197
阿联酋,-0.03095975232198145
秘鲁,-0.03653470619563293
俄罗斯,-0.05836867813011992
乌克兰,-0.06400839454354668
新加坡,-0.07458266020463111
加拿大,-0.09415911379657604
美国,-0.09574247902893951
罗马尼亚,-0.09865470852017932
巴林,-0.1078384798099763
德国,-0.15200197726149278
土耳其,-0.15547221275144907
沙特阿拉伯,-0.17025483304042177
科威特,-0.1704853783539343
比利时,-0.17103235747303547
意大利,-0.24114052953156828
厄瓜多尔,-0.3411740216486261
