国家,本周较上周新增病死人数增速
各国平均,-0.05266664445850966
南非,0.3969465648854962
智利,0.3619909502262444
墨西哥,0.34064171122994646
俄罗斯,0.31360201511335006
孟加拉,0.20799999999999996
印度,0.20534759358288768
埃及,0.19199999999999995
巴西,0.18061206439058908
瑞典,0.1549707602339181
加拿大,0.07533234859675031
哥伦比亚,0.05594405594405605
西班牙,0.0
巴基斯坦,-0.01619433198380571
伊朗,-0.04303797468354431
秘鲁,-0.05221339387060164
印度尼西亚,-0.07234042553191489
土耳其,-0.12396694214876036
美国,-0.2468912743118291
英国,-0.2607084019769358
比利时,-0.28621908127208484
荷兰,-0.30810810810810807
德国,-0.31496062992125984
厄瓜多尔,-0.3777038269550749
意大利,-0.4132379248658319
法国,-0.4341772151898734
