国家,累计确诊人数
Afghanistan,13036
Albania,1076
Algeria,8997
Andorra,763
Angola,73
Anguilla,3
Antigua and Barb.,25
Argentina,14689
Armenia,8216
Aruba,101
Australia,7150
Austria,16543
Azerbaijan,4759
Bahamas,101
Bahrain,10052
Bangladesh,40321
Barbados,92
Belarus,39858
Belgium,57849
Belize,18
Benin,210
Bermuda,140
Bhutan,31
Bolivia,8387
Bonaire Sint Eustatius and Saba,7
Bosnia and Herz.,2462
Botswana,35
Brazil,438238
British Virgin Islands,8
Brunei,141
Bulgaria,2485
Burkina Faso,847
Burundi,42
Cambodia,124
Cameroon,5436
Canada,88501
Cape Verde,390
Cayman Is.,140
Central African Rep.,755
Chad,726
Chile,86943
China,84106
Colombia,25366
Comoros,87
Congo,571
Costa Rica,1000
Côte d'Ivoire,2641
Croatia,2245
Cuba,1983
Curaçao,19
Cyprus,941
Czech Rep.,9140
Dem. Rep. Congo,2832
Denmark,11512
Djibouti,2914
Dominica,16
Dominican Rep.,16068
Ecuador,38471
Egypt,20793
El Salvador,2194
Eq. Guinea,1043
Eritrea,39
Estonia,1851
Ethiopia,831
Faeroe Is.,187
Falkland Is.,13
Fiji,18
Finland,6743
France,149071
Fr. Polynesia,60
Gabon,2431
Gambia,25
Georgia,738
Germany,180458
Ghana,7303
Gibraltar,157
Greece,2906
Greenland,13
Grenada,23
Guam,172
Guatemala,4348
Guernsey,252
Guinea,3553
Guinea-Bissau,1178
Guyana,150
Haiti,1443
Honduras,4752
Hong Kong,0
Hungary,3841
Iceland,1805
India,165799
Indonesia,24538
International,696
Iran,143849
Iraq,5457
Ireland,24841
Isle of Man,336
Israel,16872
Italy,231732
Jamaica,569
Japan,16719
Jersey,308
Jordan,728
Kazakhstan,9932
Kenya,1618
Kosovo,1048
Kuwait,24112
Kyrgyzstan,1662
Lao PDR,19
Latvia,1061
Lebanon,1168
Lesotho,2
Liberia,269
Libya,105
Liechtenstein,83
Lithuania,1656
Luxembourg,4008
Macedonia,2078
Madagascar,656
Malawi,203
Malaysia,7629
Maldives,1513
Mali,1194
Malta,616
Mauritania,292
Mauritius,334
Mexico,81400
Moldova,7725
Monaco,98
Mongolia,179
Montenegro,324
Montserrat,11
Morocco,7643
Mozambique,233
Myanmar,206
Namibia,22
Nepal,1042
Netherlands,45950
New Caledonia,19
New Zealand,1154
Nicaragua,759
Niger,955
Nigeria,8915
N. Mariana Is.,22
Norway,8401
Oman,9009
Pakistan,64028
Palestine,625
Panama,12131
Papua New Guinea,8
Paraguay,900
Peru,141779
Philippines,15588
Poland,22825
Portugal,31596
Puerto Rico,3486
Qatar,50914
Romania,18791
Russia,379051
Rwanda,349
Saint Kitts and Nevis,15
Saint Lucia,18
St. Vin. and Gren.,25
San Marino,670
São Tomé and Principe,458
Saudi Arabia,80185
Senegal,3348
Serbia,11300
Seychelles,11
Sierra Leone,812
Singapore,33249
Sint Maarten (Dutch part),77
Slovakia,1520
Slovenia,1473
Somalia,1828
South Africa,27403
Korea,11402
S. Sudan,806
Spain,237906
Sri Lanka,1530
Sudan,4346
Suriname,12
Swaziland,279
Sweden,35727
Switzerland,30713
Syria,121
Taiwan,441
Tajikistan,3563
Tanzania,509
Thailand,3065
Timor-Leste,24
Togo,422
Trinidad and Tobago,116
Tunisia,1068
Turkey,160979
Turks and Caicos Is.,12
Uganda,317
Ukraine,22382
United Arab Emirates,32532
United Kingdom,269127
United States,1721750
U.S. Virgin Is.,69
Uruguay,811
Uzbekistan,3444
Vatican,12
Venezuela,1327
Vietnam,327
W. Sahara,6
World,5776934
Yemen,278
Zambia,1057
Zimbabwe,149
Aland,0
American Samoa,0
Br. Indian Ocean Ter.,0
Dem. Rep. Korea,0
Fr. S. Antarctic Lands,0
Heard I. and McDonald Is.,0
Kiribati,0
Lesotho,0
Micronesia,0
N. Cyprus,0
Niue,0
Palau,0
S. Geo. and S. Sandw. Is.,0
Saint Helena,0
Samoa,0
Siachen Glacier,0
Solomon Is.,0
St. Pierre and Miquelon,0
Timor-Leste,0
Tonga,0
Turkmenistan,0
Vanuatu,0
