国家,阳性率
各国平均,0.07650855046878094
巴西,0.48098330081586166
阿富汗,0.373492249949861
玻利维亚,0.3484345563828833
厄瓜多尔,0.3471735913078006
墨西哥,0.31864590905749457
洪都拉斯,0.3137254901960784
几内亚,0.2466162282223919
卡塔尔,0.2459221476769404
多米尼加,0.21535409853642845
尼日利亚,0.1964325880606415
加蓬,0.19228855721393034
摩尔多瓦,0.1904351041538272
巴拿马,0.1894821875757331
伊朗,0.16411901078389762
智利,0.16398986745835792
埃及,0.15402222222222223
秘鲁,0.15012515492478554
瑞典,0.1496105527638191
亚美尼亚,0.14956945986783418
孟加拉,0.14620924228359247
法国,0.13450351103866512
荷兰,0.13408972192797383
危地马拉,0.13189295828427786
阿曼,0.125125
巴基斯坦,0.12050519006624863
吉布提,0.11537395573504375
美国,0.1085247687582548
沙特阿拉伯,0.10404232018850494
科特迪瓦,0.10149494638945467
新加坡,0.09934237849240045
阿根廷,0.09603600747168822
塞内加尔,0.08694297288875039
科威特,0.08540027838677344
哥伦比亚,0.08506913808559147
印度尼西亚,0.0846412285361462
土耳其,0.0834862818294075
白俄罗斯,0.0798359135421403
瑞士,0.079819191233263
北马其顿,0.0768604522073789
爱尔兰,0.07624733344587854
比利时,0.07065034861695124
乌克兰,0.06934865188104578
英国,0.06868850781211916
西班牙,0.06689203380675804
意大利,0.06291689925780801
日本,0.059757681900072496
加拿大,0.056740931712072236
卢森堡,0.056372893752285574
印度,0.049190752545405655
塞尔维亚,0.04828667757746166
菲律宾,0.04813800302020573
德国,0.04615566367676363
罗马尼亚,0.04583170731707317
摩洛哥,0.04241657370871696
南非,0.040845926588513944
葡萄牙,0.04057542205065379
波黑,0.03934981699618009
俄罗斯,0.039072266752428544
奥地利,0.038907555946575814
芬兰,0.03817152561562412
加纳,0.03547039681383263
挪威,0.03504485875329353
克罗地亚,0.034488585737548774
巴林,0.033745925276879744
保加利亚,0.03189379892871858
以色列,0.03020862428292117
波兰,0.02695658130317503
萨尔瓦多,0.02667704242306336
伊拉克,0.0258032484573374
匈牙利,0.021929648125693202
捷克,0.021520982604618506
丹麦,0.01974437957506363
希腊,0.01704728774484211
阿塞拜疆,0.016717661564834948
阿联酋,0.015414407913222171
马来西亚,0.014672733986737033
韩国,0.0130591044198806
哈萨克斯坦,0.013023734041641677
泰国,0.008163471859327266
乌兹别克斯坦,0.0074869565217391305
澳大利亚,0.005228733315587329
