国家,累计确诊人数
Aruba,101
Afghanistan,3563
Angola,36
Anguilla,3
Albania,842
Andorra,752
United Arab Emirates,16240
Argentina,5358
Armenia,2884
Antigua and Barb.,25
Australia,6896
Austria,15673
Azerbaijan,2204
Burundi,19
Belgium,51420
Benin,140
Bonaire Sint Eustatius and Saba,6
Burkina Faso,736
Bangladesh,12425
Bulgaria,1829
Bahrain,4199
Bahamas,92
Bosnia and Herz.,2027
Belarus,20168
Belize,18
Bermuda,118
Bolivia,2081
Brazil,135106
Barbados,82
Brunei,141
Bhutan,7
Botswana,23
Central African Rep.,94
Canada,64922
Switzerland,30043
Chile,24581
China,83976
Côte d'Ivoire,1571
Cameroon,2265
Dem. Rep. Congo,897
Congo,274
Colombia,9456
Comoros,8
Cape Verde,218
Costa Rica,765
Cuba,1729
Curaçao,16
Cayman Is.,78
Cyprus,889
Czech Rep.,8031
Germany,167300
Djibouti,1133
Dominica,16
Denmark,10083
Dominican Rep.,9095
Algeria,5182
Ecuador,30298
Egypt,7981
Eritrea,39
W. Sahara,6
Spain,222857
Estonia,1720
Ethiopia,191
Finland,5673
Fiji,18
Falkland Is.,13
France,137779
Faeroe Is.,187
Gabon,504
United Kingdom,206715
Georgia,615
Guernsey,252
Ghana,3091
Gibraltar,144
Guinea,1927
Gambia,18
Guinea-Bissau,564
Eq. Guinea,439
Greece,2678
Grenada,21
Greenland,11
Guatemala,832
Guam,151
Guyana,93
Honduras,1685
Croatia,2125
Haiti,129
Hungary,3178
Indonesia,12776
Isle of Man,329
India,56342
Ireland,22385
Iran,103135
Iraq,2543
Iceland,1801
Israel,16381
Italy,215858
Jamaica,488
Jersey,293
Jordan,494
Japan,15547
Kazakhstan,4690
Kenya,607
Kyrgyzstan,906
Cambodia,122
Saint Kitts and Nevis,15
Korea,10822
Kuwait,6567
Lao PDR,19
Lebanon,784
Liberia,189
Libya,64
Saint Lucia,18
Liechtenstein,83
Sri Lanka,824
Lithuania,1433
Luxembourg,3859
Latvia,909
Morocco,5548
Monaco,95
Moldova,4605
Madagascar,193
Maldives,642
Mexico,29616
Macedonia,1572
Mali,650
Malta,486
Myanmar,176
Montenegro,324
Mongolia,42
N. Mariana Is.,15
Mozambique,81
Mauritania,8
Montserrat,11
Mauritius,332
Malawi,43
Malaysia,6467
Namibia,16
New Caledonia,18
Niger,781
Nigeria,3526
Nicaragua,16
Netherlands,41774
Norway,7995
Nepal,101
New Zealand,1141
Oman,2958
Pakistan,25837
Panama,7868
Peru,58526
Philippines,10343
Papua New Guinea,8
Poland,15047
Puerto Rico,2031
Portugal,26715
Paraguay,462
Palestine,547
Fr. Polynesia,60
Qatar,18890
Kosovo,861
Romania,14499
Russia,177160
Rwanda,271
Saudi Arabia,33731
Sudan,930
Senegal,1492
Singapore,20939
Sierra Leone,231
El Salvador,695
San Marino,622
Somalia,928
Serbia,9848
S. Sudan,90
São Tomé and Principe,187
Suriname,10
Slovakia,1445
Slovenia,1449
Sweden,24623
Swaziland,153
Sint Maarten (Dutch part),76
Seychelles,11
Syria,45
Turks and Caicos Is.,12
Chad,253
Togo,135
Thailand,2992
Tajikistan,461
Timor-Leste,24
Trinidad and Tobago,116
Tunisia,1026
Turkey,133721
Tanzania,509
Uganda,101
Ukraine,13691
Uruguay,684
United States,1256972
Uzbekistan,2298
Vatican,12
St. Vin. and Gren.,17
Venezuela,381
British Virgin Islands,7
U.S. Virgin Is.,66
Vietnam,288
Yemen,26
South Africa,8232
Zambia,153
Zimbabwe,34
Aland,0
American Samoa,0
Br. Indian Ocean Ter.,0
Dem. Rep. Korea,0
Fr. S. Antarctic Lands,0
Heard I. and McDonald Is.,0
Kiribati,0
Lesotho,0
Micronesia,0
N. Cyprus,0
Niue,0
Palau,0
S. Geo. and S. Sandw. Is.,0
Saint Helena,0
Samoa,0
Siachen Glacier,0
Solomon Is.,0
St. Pierre and Miquelon,0
Timor-Leste,0
Tonga,0
Turkmenistan,0
Vanuatu,0
