国家,累计死亡人数
Aruba,3
Afghanistan,106
Angola,2
Anguilla,0
Albania,31
Andorra,47
United Arab Emirates,165
Argentina,282
Armenia,42
Antigua and Barb.,3
Australia,97
Austria,609
Azerbaijan,28
Burundi,1
Belgium,8415
Benin,2
Bonaire Sint Eustatius and Saba,0
Burkina Faso,48
Bangladesh,199
Bulgaria,84
Bahrain,8
Bahamas,11
Bosnia and Herz.,90
Belarus,116
Belize,2
Bermuda,7
Bolivia,102
Brazil,9146
Barbados,7
Brunei,1
Bhutan,0
Botswana,1
Central African Rep.,0
Canada,4408
Switzerland,1517
Chile,285
China,4637
Côte d'Ivoire,20
Cameroon,108
Dem. Rep. Congo,36
Congo,10
Colombia,407
Comoros,1
Cape Verde,2
Costa Rica,6
Cuba,73
Curaçao,1
Cayman Is.,1
Cyprus,21
Czech Rep.,270
Germany,7266
Djibouti,3
Dominica,0
Denmark,514
Dominican Rep.,373
Algeria,483
Ecuador,1654
Egypt,482
Eritrea,0
W. Sahara,0
Spain,26251
Estonia,56
Ethiopia,4
Finland,255
Fiji,0
Falkland Is.,0
France,25987
Faeroe Is.,0
Gabon,8
United Kingdom,30615
Georgia,9
Guernsey,13
Ghana,18
Gibraltar,0
Guinea,11
Gambia,1
Guinea-Bissau,2
Eq. Guinea,4
Greece,148
Grenada,0
Greenland,0
Guatemala,23
Guam,5
Guyana,10
Honduras,105
Croatia,86
Haiti,12
Hungary,392
Indonesia,930
Isle of Man,23
India,1886
Ireland,1403
Iran,6486
Iraq,102
Iceland,10
Israel,240
Italy,29958
Jamaica,9
Jersey,25
Jordan,9
Japan,557
Kazakhstan,31
Kenya,29
Kyrgyzstan,12
Cambodia,0
Saint Kitts and Nevis,0
Korea,256
Kuwait,44
Lao PDR,0
Lebanon,25
Liberia,20
Libya,3
Saint Lucia,0
Liechtenstein,1
Sri Lanka,9
Lithuania,49
Luxembourg,100
Latvia,18
Morocco,183
Monaco,4
Moldova,145
Madagascar,0
Maldives,3
Mexico,2961
Macedonia,89
Mali,32
Malta,5
Myanmar,6
Montenegro,8
Mongolia,0
N. Mariana Is.,2
Mozambique,0
Mauritania,1
Montserrat,1
Mauritius,10
Malawi,3
Malaysia,107
Namibia,0
New Caledonia,0
Niger,42
Nigeria,107
Nicaragua,5
Netherlands,5288
Norway,209
Nepal,0
New Zealand,21
Oman,14
Pakistan,594
Panama,225
Peru,1627
Philippines,685
Papua New Guinea,0
Poland,755
Puerto Rico,102
Portugal,1105
Paraguay,10
Palestine,4
Fr. Polynesia,0
Qatar,12
Kosovo,27
Romania,876
Russia,1625
Rwanda,0
Saudi Arabia,219
Sudan,52
Senegal,13
Singapore,20
Sierra Leone,16
El Salvador,15
San Marino,41
Somalia,44
Serbia,206
S. Sudan,0
São Tomé and Principe,4
Suriname,1
Slovakia,26
Slovenia,99
Sweden,3040
Swaziland,2
Sint Maarten (Dutch part),14
Seychelles,0
Syria,3
Turks and Caicos Is.,1
Chad,27
Togo,9
Thailand,55
Tajikistan,12
Timor-Leste,0
Trinidad and Tobago,8
Tunisia,44
Turkey,3641
Tanzania,21
Uganda,0
Ukraine,340
Uruguay,17
United States,75670
Uzbekistan,10
Vatican,0
St. Vin. and Gren.,0
Venezuela,10
British Virgin Islands,1
U.S. Virgin Is.,4
Vietnam,0
Yemen,6
South Africa,161
Zambia,4
Zimbabwe,4
Aland,0
American Samoa,0
Br. Indian Ocean Ter.,0
Dem. Rep. Korea,0
Fr. S. Antarctic Lands,0
Heard I. and McDonald Is.,0
Kiribati,0
Lesotho,0
Micronesia,0
N. Cyprus,0
Niue,0
Palau,0
S. Geo. and S. Sandw. Is.,0
Saint Helena,0
Samoa,0
Siachen Glacier,0
Solomon Is.,0
St. Pierre and Miquelon,0
Timor-Leste,0
Tonga,0
Turkmenistan,0
Vanuatu,0
