国家,总检测数
美国,8573610.0
俄罗斯,4980000.0
德国,2755770.0
意大利,2445063.0
西班牙,1932455.0
英国,1631561.0
印度,1437788.0
法国,1384633.0
土耳其,1298806.0
阿联酋,1200000.0
加拿大,1032088.0
澳大利亚,757250.0
韩国,654863.0
伊朗,558899.0
比利时,515233.0
葡萄牙,501718.0
秘鲁,473190.0
波兰,443506.0
以色列,442925.0
沙特阿拉伯,418722.0
哈萨克斯坦,371126.0
巴西,339552.0
乌兹别克斯坦,325000.0
南非,307752.0
奥地利,304069.0
瑞士,301675.0
丹麦,298488.0
捷克,293992.0
巴基斯坦,257247.0
智利,255961.0
荷兰,249655.0
马来西亚,245102.0
白俄罗斯,240146.0
罗马尼亚,237280.0
泰国,227860.0
爱尔兰,214761.0
日本,202013.0
科威特,196397.0
挪威,195921.0
阿塞拜疆,181530.0
新加坡,175604.0
巴林,172158.0
乌克兰,159155.0
菲律宾,151080.0
加纳,149948.0
瑞典,148500.0
印度尼西亚,143781.0
哥伦比亚,135352.0
塞尔维亚,128805.0
伊拉克,122941.0
卡塔尔,120458.0
芬兰,116500.0
孟加拉,111401.0
墨西哥,110916.0
匈牙利,99058.0
希腊,94991.0
埃及,90000.0
厄瓜多尔,83218.0
阿根廷,77901.0
摩洛哥,59871.0
卢森堡,53257.0
冰岛,52745.0
阿曼,50000.0
克罗地亚,43378.0
巴拿马,39093.0
多米尼加,38543.0
波黑,38187.0
亚美尼亚,29205.0
尼日利亚,23835.0
摩尔多瓦,20447.0
阿富汗,14389.0
玻利维亚,7651.0
阿尔及利亚,6500.0
