国家,检测率
各国平均,0.008578208934236043
冰岛,0.154567
阿联酋,0.12133
巴林,0.101176
卢森堡,0.085078
丹麦,0.051533
以色列,0.051172
葡萄牙,0.049204
科威特,0.045988
比利时,0.044456
爱尔兰,0.043493
卡塔尔,0.04181
西班牙,0.041332
意大利,0.04044
挪威,0.03614
瑞士,0.034857
俄罗斯,0.034125
奥地利,0.033761
德国,0.032891
新加坡,0.030016
澳大利亚,0.029696
捷克,0.027453
加拿大,0.027346
美国,0.025902
白俄罗斯,0.025414
英国,0.024034
法国,0.021213
芬兰,0.021026
哈萨克斯坦,0.019765
阿塞拜疆,0.017904
土耳其,0.0154
塞尔维亚,0.014742
瑞典,0.014704
荷兰,0.01457
秘鲁,0.014351
智利,0.01339
韩国,0.012773
罗马尼亚,0.012334
沙特阿拉伯,0.012027
波兰,0.011719
波黑,0.011639
克罗地亚,0.010566
匈牙利,0.010254
亚美尼亚,0.009856
阿曼,0.009791
乌兹别克斯坦,0.00971
希腊,0.009114
巴拿马,0.00906
马来西亚,0.007573
伊朗,0.006654
南非,0.005189
摩尔多瓦,0.005069
加纳,0.004826
厄瓜多尔,0.004717
乌克兰,0.003639
多米尼加,0.003553
泰国,0.003264
伊拉克,0.003057
哥伦比亚,0.00266
阿根廷,0.001724
摩洛哥,0.001622
巴西,0.001597
日本,0.001597
菲律宾,0.001379
巴基斯坦,0.001165
印度,0.001042
埃及,0.000879
墨西哥,0.00086
孟加拉,0.000676
玻利维亚,0.000655
印度尼西亚,0.000526
阿富汗,0.00037
阿尔及利亚,0.000148
尼日利亚,0.000116
