国家,本周较上周新增确诊人数增速
全球平均,0.06390469776644103
智利,0.9064227988090174
厄瓜多尔,0.7757810340060824
印度,0.7514441842310695
俄罗斯,0.6029164574646904
孟加拉,0.37954353338968727
墨西哥,0.3689895929390068
巴基斯坦,0.35614434330299094
巴西,0.2825568741255118
沙特阿拉伯,0.2601445247359644
伊朗,0.21376811594202905
法国,0.161612130885874
秘鲁,0.13699431183881772
卡塔尔,0.09585352719439966
印度尼西亚,0.09444444444444455
菲律宾,0.07025316455696196
罗马尼亚,0.043720930232558075
葡萄牙,0.04155251141552507
乌克兰,0.03733665214685744
加拿大,0.022917036773849597
波兰,0.021690013556258547
白俄罗斯,0.006510416666666741
阿联酋,-0.0005323396326856189
英国,-0.0023536334215945587
瑞典,-0.05261826460915764
美国,-0.07530735988744097
新加坡,-0.08356545961002781
日本,-0.13546511627906976
丹麦,-0.17620345140781113
土耳其,-0.24616704805491996
西班牙,-0.26244402342404405
韩国,-0.2727272727272727
荷兰,-0.292997542997543
德国,-0.31693243810323124
意大利,-0.3240266038520161
爱尔兰,-0.3552283880709701
比利时,-0.37138636843215866
奥地利,-0.47173913043478266
瑞士,-0.5116731517509727
中国,-0.6266666666666667
以色列,-0.6788111217641419
