name,value
开始日期,2020-05-03
结束日期,2020-05-09
当前全球确诊数量,4001136
当前全球死亡数量,275399
当前全球确诊率,0.000513
当前全球病死率,0.068830202222569
当前全球确诊最多国家,shabi
当前全球确诊最多国家确诊数,1318526
当前全球确诊第二多国家,西班牙
当前全球确诊第二多国家确诊数,260117
当前全球死亡最多国家,美国
当前全球死亡最多国家死亡数,78494
当前全球死亡第二多国家,英国
当前全球死亡第二多国家死亡数,31241
上周全球确诊病例,609794
上周全球确诊较前一周,0.063904697766441
上周全球死亡病例,36289
上周全球死亡较前一周,-0.146843775714118
上周确诊最多国家,美国
上周确诊最多国家确诊数,193221
上周确诊第二多国家,俄罗斯
上周确诊第二多国家确诊数,73428
上周死亡最多国家,美国
上周死亡最多国家死亡数,12954
上周死亡第二多国家,英国
上周死亡第二多国家死亡数,3731
上周确诊增速最快国家,加纳
上周确诊增速最快国家增速值,1.4377358490566
上周确诊增速第二快国家,玻利维亚
上周确诊增速第二快国家增速值,0.969827586206896
上周死亡增速最快国家,喀麦隆
上周死亡增速最快国家增速值,1.61111111111111
上周死亡增速第二快国家,玻利维亚
上周死亡增速第二快国家增速值,1.10526315789474
当前全球确诊第三多国家,意大利
当前全球确诊第三多国家确诊数,217185
